title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;capacity_normalized
水晶肥皂食器洗滌液體-補充包;日用生活;129;南僑水晶;規格：800ml毫升x1x1pack包;水晶肥皂食器洗滌液体-補充包;130;1;8000;333;1207;0.77%;0;110500470010;ml;1;pack;1290;1300;7692307692307693;volume;月;4867534450455582;4875197323201151;2763913412209601;43847109913483323;5231300047409865;11645724793135151;0.014287782254198446
家樂福ECO環保無香氛洗碗精500ml;日用生活;99;家樂福自有品牌;規格：500ml毫升x1x1bottle瓶;家福ECO環保無香氛洗碗精;0;1;5000;480;1209;0.00%;1;110500490010;ml;1;bottle;990;0;0;volume;月;4605170185988092;0;3990156686640621;411012184588909;0;0;0.008647868206488532
【安心價】OP苦茶籽洗潔精;日用生活;150;OP;規格：1000ml毫升x1x1bottle瓶;OP苦茶籽洗潔精;0;1;10000;600;1231;0.00%;1;110500740010;ml;1;bottle;1500;0;0;volume;月;5017279836814924;0;4991171604543494;45414337743093897;0;0;0.01804772495267172
Pril淨麗小蘇打洗碗精補充包-草本香氛-1000ml;日用生活;149;Pril淨麗;規格：1000ml毫升x1x1bottle瓶;Pril淨麗小蘇打洗碗精補充草本;0;1;10000;360;1234;0.00%;1;110500780010;ml;1;bottle;1490;0;0;volume;月;50106352940962555;0;2989141768737748;4534479628664632;0;0;0.01804772495267172
橘子工坊溫和護手碗盤洗滌液補充包-430ml;日用生活;1428;橘子工坊;規格：500ml毫升x1x12pack包;橘子工坊溫和護手碗盤洗滌液補充包;1860;1;5000;360;1239;23.23%;1;110500880010;ml;12;pack;1190;1550;23225806451612904;volume;月;4787491742782046;5049856007249537;2989141768737748;4300938688192147;5418716457776392;35162575504433874;0.008647868206488532
橘子工坊去油淨味洗碗精補充包;日用生活;119;橘子工坊;規格：500ml毫升x1x1bag袋;橘子工坊淨味碗盤洗滌液補充包;155;1;5000;360;1241;23.23%;1;110500930010;ml;1;bag;1190;1550;23225806451612904;volume;月;4787491742782046;5049856007249537;2989141768737748;4300938688192147;5418716457776392;35162575504433874;0.008647868206488532
妙管家植萃酵素洗潔精(檸檬清新)1加侖;日用生活;155;妙管家;規格：1gal加侖x1x1bottle瓶;妙管家植萃酵素洗潔精加侖桶;199;1;378541;360;1244;22.11%;1;110500970010;ml;1;bottle;1550;1990;22110552763819097;volume;月;5049856007249537;5298317366548036;2989141768737748;457552783365139;5685326368003432;3347414362649903;0.7108942459716915
鷹王檸檬洗潔精-1000ml;日用生活;69;鷹王;規格：1000ml毫升x1x1bottle瓶;鷹王檸檬洗潔精        1000ML;0;1;10000;360;1250;0.00%;1;110501040010;ml;1;bottle;690;0;0;volume;月;4248495242049359;0;2989141768737748;3736827608346326;0;0;0.01804772495267172
易洗樂洗潔精超值大包裝;日用生活;414;VINATA 台酒生技;規格：5000ml毫升x1x1bottle瓶;易洗樂洗潔精超值大包裝;445;1;50000;360;1257;6.97%;1;110501230010;ml;1;bottle;4140;4450;696629213483146;volume;月;6028278520230698;6100318952020064;2989141768737748;5599540011082941;6545909161675412;10546577734007788;0.09324657892213722
珂珂透Cucute超濃縮洗碗凝露-清新柑橘香;日用生活;79;珂珂透;規格：220ml毫升x1x1pc瓶;珂珂透超濃縮洗碗凝露 洗碗凝露柑橘;85;1;2200;360;1264;7.06%;1;110501400010;ml;1;pc;790;850;70588235294117645;volume;月;4382026634673881;4454347296253507;2989141768737748;38765809054166034;47797095537397455;10686665104288727;0.003383948428625948
珂珂透Cucute超濃縮洗碗凝露-麝香葡萄香;日用生活;79;珂珂透;規格：220ml毫升x1x1pc瓶;珂珂透超濃縮洗碗凝露 洗碗凝露葡萄;85;1;2200;360;1265;7.06%;1;110501400020;ml;1;pc;790;850;70588235294117645;volume;月;4382026634673881;4454347296253507;2989141768737748;38765809054166034;47797095537397455;10686665104288727;0.003383948428625948
雷達天然植物噴霧殺蟲劑-500ml;日用生活;69;雷達;規格：500ml毫升x1x1bottle瓶;雷達天然植物噴霧殺蟲劑;0;1;5000;360;1361;0.00%;1;110700030010;ml;1;bottle;690;0;0;volume;月;4248495242049359;0;2989141768737748;3736827608346326;0;0;0.008647868206488532
噴效新蟑螂螞蟻殺蟲劑-600ml;日用生活;80;噴效;規格：600ml毫升x1x1bottle瓶;噴效新蟑螂螞蟻藥;85;1;6000;333;1362;5.88%;1;110700040010;ml;1;bottle;800;850;588235294117647;volume;月;4394449154672439;4454347296253507;2763913412209601;38895822535909735;47797095537397455;8905554253573938;0.01052783955572517
噴效新油性噴霧殺蟲劑;日用生活;60;噴效;規格：600ml毫升x1x1bottle瓶;噴效新油性噴霧殺蟲劑;62;1;6000;360;1365;3.23%;1;110700070010;ml;1;bottle;600;620;3225806451612903;volume;月;4110873864173311;4143134726391533;2989141768737748;35927937528797405;4445764848829938;4883691042282482;0.01052783955572517
雷達雙效殺蟲劑;日用生活;69;雷達;規格：500ml毫升x1x1bottle瓶;雷達雙效殺蟲劑;84;1;5000;333;1366;17.86%;0;110700110010;ml;1;bottle;690;840;17857142857142858;volume;月;4248495242049359;4442651256490317;2763913412209601;3736827608346326;4767159191300772;2703471826977803;0.008647868206488532
鱷魚水性蟑螂螞蟻藥;日用生活;99;鱷魚;規格：600ml毫升x1x1bottle瓶;鱷魚水性蟑螂螞蟻藥;0;1;6000;600;1367;0.00%;1;110700120010;ml;1;bottle;990;0;0;volume;月;4605170185988092;0;4991171604543494;411012184588909;0;0;0.01052783955572517
必安住跳蚤蟑螂藥600ml;日用生活;78;必安住;規格：600ml毫升x1x1bottle瓶;必安住跳蚤蟑螂藥600ml;100;1;6000;600;1368;22.00%;1;110700130010;ml;1;bottle;780;1000;220;volume;月;43694478524670215;461512051684126;4991171604543494;3863416013985562;4952226254239305;33306772908366533;0.01052783955572517
雷達蟑螂藥-天然尤加利精油500ml;日用生活;125;雷達;規格：500ml毫升x1x1bottle瓶;雷達蟑螂藥-天然尤加利精油;139;1;5000;333;1369;10.07%;0;110700140010;ml;1;bottle;1250;1390;10071942446043165;volume;月;4836281906951478;4941642422609304;2763913412209601;4352002233424926;5302598546453138;15248359081658974;0.008647868206488532
噴效快速殺蟑液--水性配方;日用生活;100;噴效;規格：600ml毫升x1x1can罐;噴效快速殺蟑液--水性配方;0;1;6000;360;1370;0.00%;1;110700150010;ml;1;can;1000;0;0;volume;月;461512051684126;0;2989141768737748;41205358130943937;0;0;0.01052783955572517
雷達廣用殺蟲劑-500ml;日用生活;125;雷達;規格：500ml毫升x1x1bottle瓶;雷達廣用殺蟲劑;142;1;5000;360;1373;11.97%;0;110700180010;ml;1;bottle;1250;1420;11971830985915492;volume;月;4836281906951478;4962844630259907;2989141768737748;4352002233424926;5325349442988124;1812468436114696;0.008647868206488532
家家蟑螂螞蟻跳蚤噴霧殺蟲劑;日用生活;119;家家;規格：550ml毫升x1x1pc瓶;家家蟑螂螞蟻跳蚤噴霧殺蟲劑;0;1;5500;360;1374;0.00%;1;110700190010;ml;1;pc;1190;0;0;volume;月;4787491742782046;0;2989141768737748;4300938688192147;0;0;0.009587853881106851
速必效四效液劑;日用生活;108;速必效;規格：300ml毫升x1x1bottle瓶;速必效四效液劑 四效液劑;109;1;3000;600;1378;0.92%;1;110700260010;ml;1;bottle;1080;1090;9174311926605505;volume;月;46913478822291435;4700480365792417;4991171604543494;4200314997828075;5043821107177868;13889396542271282;0.004887925508015258
必安住白蟻蟑螂跳蚤藥600ml;日用生活;87;必安住;規格：600ml毫升x1x1can罐;必安住白蟻蟑螂跳蚤藥600ml;109;1;6000;333;1379;20.18%;1;110700270010;ml;1;can;870;1090;2018348623853211;volume;月;4477336814478207;4700480365792417;2763913412209601;39763320696201393;5043821107177868;3055667239299682;0.01052783955572517
雷達快速蟑螂螞蟻藥柑橘精油;日用生活;99;雷達;規格：500ml毫升x1x1bottle瓶;雷達快速蟑螂螞蟻藥柑橘精油;119;1;5000;360;1380;16.81%;1;110700290010;ml;1;bottle;990;1190;1680672268907563;volume;月;4605170185988092;4787491742782046;2989141768737748;411012184588909;5137188121966135;2544444072449697;0.008647868206488532
速必效頑強害蟲氣霧寶;日用生活;115;速必效;規格：550ml毫升x1x1bottle瓶;速必效頑強害蟲氣霧寶 速必效頑強害蟲;145;1;5500;600;1382;20.69%;0;110700310010;ml;1;bottle;1150;1450;20689655172413794;volume;月;47535901911063645;4983606621708336;4991171604543494;4265457491378771;5347627968276035;3132298392636351;0.009587853881106851
家家水性殺蟲劑(天然檸檬精油)550ml;日用生活;105;家家;規格：550ml毫升x1x1pc瓶;家家水性殺蟲劑(天然檸檬精油) 家家水性殺蟲劑;0;1;5500;360;1383;0.00%;1;110700320010;ml;1;pc;1050;0;0;volume;月;4663439094112067;0;2989141768737748;41711057978044924;0;0;0.009587853881106851
金龍自動噴霧殺蟲劑;日用生活;79;金龍;規格：550ml毫升x1x1can罐;金龍自動噴霧殺蟲劑 自動噴霧殺蟲劑;0;1;5500;360;1388;0.00%;1;110700400010;ml;1;can;790;0;0;volume;月;4382026634673881;0;2989141768737748;38765809054166034;0;0;0.009587853881106851
金龍蟑螂螞蟻殺蟲劑;日用生活;95;金龍;規格：550ml毫升x1x1can罐;金龍蟑螂螞蟻殺蟲劑 蟑螂螞蟻殺蟲劑;0;1;5500;360;1390;0.00%;1;110700420010;ml;1;can;950;0;0;volume;月;4564348191467836;0;2989141768737748;40673977477196616;0;0;0.009587853881106851
清檜-天然防蟑螂螞蟻噴劑500ml;日用生活;390;清檜;規格：500ml毫升x1x1bottle瓶;康朵 防蟑螂螞蟻噴劑-500ML 防蟑螂螞蟻噴;0;1;5000;240;1395;0.00%;0;110700510010;ml;1;bottle;3900;0;0;volume;月;5968707559985366;0;1988126850834874;5537193337837816;0;0;0.008647868206488532
鱷魚水性快速殺蹣滅蟑劑;日用生活;105;鱷魚;規格：600ml毫升x1x1can罐;鱷魚水性快速殺蹣滅蟑劑 快速殺蹣滅蟑劑;0;1;6000;333;1396;0.00%;0;110700540010;ml;1;can;1050;0;0;volume;月;4663439094112067;0;2763913412209601;41711057978044924;0;0;0.01052783955572517
