item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_quantity_order_unique,item_quantity_order_unique_frequency,total_demand,daily_mean,daily_std,total_order_freq,daily_freq_mean,cv2,adi,composite_metric,index_class_priority,item_class,item_initial_inventory
10000001001,可口可樂Zero 600ml,45.0,30.0,24.0,32400.0,15.7,24,1350.0,PCS,"[1, 2, 3, 4, 5, 6, 8, 12, 16, 22, 24]","[4, 5, 2, 3, 1, 4, 2, 2, 1, 1, 2]",187,7.791666666666667,8.230268454952105,27,1.125,1.1157509694922336,0.875,8.765625,1,BY,116
10000002001,可口可樂2L,34.0,23.0,31.0,24242.0,13.31,6,4040.3,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 18, 21, 22, 23, 24, 30, 36, 37, 39, 42, 48, 50, 54, 60]","[120, 91, 38, 13, 7, 160, 6, 5, 18, 4, 80, 4, 9, 3, 50, 1, 5, 1, 50, 46, 15, 1, 1, 11, 19, 1, 14, 10]",9976,25.31979695431472,64.5822690825964,783,1.987309644670051,6.505881704051467,0.0532994923857868,50.31827668839702,0,AY,767
10000003001,百事可樂330ml,40.0,27.0,12.0,12960.0,9.11,24,540.0,PCS,"[6, 12, 18, 24, 48, 96]","[61, 21, 3, 54, 14, 2]",2832,21.454545454545453,20.786212266848867,155,1.1742424242424243,0.9386681461631412,0.1590909090909091,25.19283746556474,0,AY,300
10000004001,百事可樂2L,34.0,23.0,31.0,24242.0,14.0,6,4040.3,PCS,"[1, 2, 3, 4, 6, 12, 18, 24, 30, 35, 36, 42, 48]","[2, 3, 3, 3, 58, 37, 12, 11, 7, 1, 2, 7, 4]",2104,19.48148148148148,34.35098700277875,150,1.3888888888888888,3.1090984927476164,0.1944444444444444,27.05761316872428,0,AY,432
10000005001,可口可樂330ml,40.0,28.0,12.0,13440.0,8.89,24,560.0,PCS,"[6, 12, 18, 24, 30, 36, 42, 48, 72, 96, 108]","[181, 55, 22, 179, 3, 1, 3, 81, 7, 5, 1]",11670,32.6890756302521,39.09749005546932,538,1.5070028011204482,1.4305151969149,0.0588235294117647,49.26252854082809,0,AY,534
10000006001,Dr. Pepper 可樂,40.0,13.0,13.0,6760.0,4.69,12,563.3,PCS,"[1, 6]","[1, 2]",13,4.333333333333333,2.8867513459481287,3,1.0,0.4437869822485207,7.0,4.333333333333333,1,BY,48
10000007001,可口可樂 Zero 330ml,40.0,28.0,12.0,13440.0,8.58,24,560.0,PCS,"[6, 12, 18, 24, 30, 42, 48, 54, 72, 84, 96]","[118, 47, 13, 86, 1, 1, 35, 1, 1, 2, 1]",5712,24.620689655172413,24.49972353317422,306,1.3189655172413792,0.9901977597761796,0.0905172413793103,32.47384066587396,0,AY,351
10000008001,可口可樂纖維+ 1250ml,37.0,26.0,28.0,26936.0,16.14,12,2244.7,PCS,"[12, 24]","[3, 1]",60,15.0,6.0,4,1.0,0.16,5.25,15.0,0,AY,122
10000010001,可口可樂 Zero 2L,34.0,23.0,31.0,24242.0,12.52,6,4040.3,PCS,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 14, 18, 19, 24, 28, 30, 36, 60, 72]","[33, 14, 9, 4, 4, 52, 1, 2, 1, 34, 1, 23, 1, 1, 1, 5, 1, 1, 1]",1696,11.77777777777778,16.67142123324481,189,1.3125,2.0036346707760018,0.1458333333333333,15.458333333333334,0,AY,219
10000011001,可口可樂 Can 250 ml,40.0,27.0,10.0,10800.0,6.76,24,450.0,PCS,"[24, 48, 72, 96, 120, 144, 192, 240, 288, 480]","[683, 359, 62, 16, 5, 6, 8, 10, 12, 20]",58080,99.11262798634812,436.32495254836135,1181,2.015358361774744,19.38037235558498,0.0358361774744027,199.74746356975615,0,AY,4891
10000012001,可口可樂Pet 600ml,45.0,30.0,25.0,33750.0,15.88,24,1406.3,PCS,"[4, 8, 12, 16, 20, 24, 32, 40, 48, 52]","[55, 24, 7, 3, 3, 21, 1, 1, 6, 1]",1520,15.353535353535351,13.531002294287852,122,1.2323232323232325,0.7766818361693709,0.2121212121212121,18.920518314457706,0,AY,201
10000013001,百事可樂 Can250ml,41.0,28.0,10.0,11480.0,7.03,24,478.3,PCS,"[24, 48]","[48, 5]",1392,27.84,14.834268104766128,53,1.06,0.2839185614792885,0.42,29.5104,2,AX,265
10000021001,可口可樂纖維+ Can 330ml,40.0,28.0,12.0,13440.0,8.59,24,560.0,PCS,"[3, 4, 8, 12, 16, 20, 21, 24, 48, 83]","[1, 35, 15, 6, 1, 2, 1, 21, 4, 1]",1191,17.014285714285716,20.915629588339065,87,1.2428571428571429,1.51117388902309,0.3,21.14632653061225,0,AY,284
10000022001,可口可樂1250ml,37.0,27.0,29.0,28971.0,15.12,12,2414.3,PCS,"[1, 2, 3, 4, 5, 6, 10, 12, 24]","[26, 17, 5, 5, 1, 2, 1, 6, 5]",314,5.233333333333333,8.244909403592397,68,1.1333333333333333,2.4820754580754474,0.35,5.931111111111111,1,BY,106
10000023001,百事可樂 - 600ml,43.0,28.0,25.0,30100.0,16.27,24,1254.2,PCS,"[4, 8, 20]","[23, 2, 1]",128,5.333333333333333,4.197998142662417,26,1.0833333333333333,0.6195652173913044,0.875,5.777777777777777,1,BY,65
10000026001,可口可樂Can 235ml,34.0,22.0,14.0,10472.0,6.62,24,436.3,PCS,"[8, 16, 24, 32, 40, 48, 64, 72, 96]","[312, 100, 49, 20, 8, 16, 1, 1, 1]",7232,22.6,22.875210056078565,508,1.5875,1.024503162169547,0.065625,35.8775,0,AY,327
10000027001,可口可樂纖維+ Pet 600ml,45.0,30.0,25.0,33750.0,15.41,24,1406.3,PCS,"[4, 8, 12, 16, 20, 24, 28, 32, 36, 48]","[19, 17, 8, 11, 5, 17, 2, 3, 2, 2]",1312,21.161290322580644,20.297939448346902,86,1.3870967741935485,0.9200673389180916,0.3387096774193548,29.352757544224765,0,AY,294
10000998001,可樂雪碧350ml*12入組,28.0,20.0,19.0,10640.0,4.8,1,10640.0,PCS,"[1, 2, 3, 4]","[464, 173, 12, 1]",850,2.114427860696517,1.9879539465957043,650,1.6169154228855722,0.8839483574800026,0.0522388059701492,3.418851018539145,1,BY,29
10001001001,七喜汽水2L,34.0,24.0,31.0,25296.0,13.34,6,4216.0,PCS,"[1, 2, 3, 6, 12, 18, 21, 30, 48, 51]","[58, 34, 10, 29, 8, 10, 1, 6, 1, 1]",906,6.969230769230769,16.538861195265383,158,1.2153846153846153,5.631725960913886,0.1615384615384615,8.470295857988166,1,BY,199
10001004001,雪碧汽水2L,34.0,23.0,31.0,24242.0,12.52,6,4040.3,PCS,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 15, 16, 17, 18, 21, 24, 31, 36, 39, 48]","[169, 72, 11, 6, 1, 88, 1, 3, 1, 46, 1, 1, 1, 14, 1, 8, 1, 9, 1, 10]",2886,9.717171717171718,27.30831489206286,445,1.4983164983164985,7.897871242402622,0.0707070707070707,14.559398700812842,0,AY,321
10001005001,七喜汽水330ml,40.0,27.0,12.0,12960.0,9.11,24,540.0,PCS,"[6, 12, 18, 24, 30, 36, 42, 48]","[41, 7, 5, 31, 2, 1, 1, 13]",1926,22.3953488372093,20.97577261832576,101,1.1744186046511629,0.8772437242285626,0.2441860465116279,26.301514332071392,0,AY,306
10001006001,雪碧汽水330ml,40.0,28.0,12.0,13440.0,8.95,24,560.0,PCS,"[6, 12, 18, 24, 30, 36, 48, 72, 78, 96, 264]","[294, 54, 10, 144, 2, 3, 55, 8, 1, 3, 1]",10062,27.194594594594594,34.42363171669875,575,1.554054054054054,1.6023160971210233,0.0567567567567567,42.26186997808619,0,AY,464
10001007001,黑松汽水-600毫升,42.0,28.0,24.0,28224.0,15.97,24,1176.0,PCS,"[4, 8, 12, 16, 20, 24]","[11, 2, 2, 1, 1, 3]",192,11.294117647058824,16.62740473541479,20,1.1764705882352942,2.1674262152777777,1.2352941176470589,13.287197231833913,0,AY,217
10001008001,黑松汽水2L,34.0,22.0,31.0,23188.0,13.02,6,3864.7,PCS,"[1, 5, 6, 12, 18, 24, 30]","[2, 1, 44, 11, 2, 1, 1]",493,8.803571428571429,6.025460051412575,62,1.1071428571428572,0.4684493474753874,0.375,9.746811224489797,3,BX,98
10001009001,黑松沙士245ml,40.0,27.0,10.0,10800.0,6.77,24,450.0,PCS,"[2, 22, 24, 46, 48, 72, 96, 120, 240]","[4, 3, 379, 1, 158, 27, 4, 5, 1]",19968,54.85714285714285,61.01665245827319,582,1.598901098901099,1.2371728650137743,0.0576923076923076,87.71114599686028,0,AY,848
10001010001,雪碧汽水1250ml,37.0,28.0,29.0,30044.0,11.02,12,2503.7,PCS,"[12, 24]","[4, 1]",72,14.4,5.366563145999495,5,1.0,0.1388888888888889,4.2,14.4,0,AY,113
10001012001,雪碧汽水Can 250 ml,40.0,27.0,10.0,10800.0,6.79,24,450.0,PCS,"[24, 48, 72, 96, 168]","[339, 104, 15, 8, 7]",16152,50.79245283018868,78.05102880446019,473,1.4874213836477987,2.3613420012703425,0.0660377358490566,75.54978046754479,0,AY,1008
10001014001,雪碧易開罐235ml,34.0,22.0,14.0,10472.0,6.55,24,436.3,PCS,"[8, 16, 24, 32, 40, 48]","[114, 27, 14, 2, 2, 6]",2112,15.194244604316546,14.583531359901908,165,1.1870503597122302,0.9212280911885654,0.1510791366906475,18.03633352310957,0,AY,211
10001015001,雪碧汽水600ml,45.0,30.0,24.0,32400.0,15.6,24,1350.0,PCS,"[4, 8, 16, 24, 48]","[41, 13, 3, 8, 2]",604,11.39622641509434,14.494481207901575,67,1.2641509433962264,1.6176449750854385,0.3962264150943396,14.406550373798504,0,AY,195
10001020001,黑松CC檸檬氣泡飲can 330ml,41.0,27.0,12.0,13284.0,8.58,24,553.5,PCS,"[6, 12, 18, 24, 30, 42, 48, 54]","[60, 12, 7, 32, 1, 1, 7, 1]",1860,19.375,18.33331738436308,121,1.2604166666666667,0.8953620680212497,0.21875,24.420572916666668,0,AY,267
10001022001,黑松CC檸檬氣泡飲PET 500ml,42.0,28.0,23.0,27048.0,13.81,24,1127.0,PCS,"[4, 8, 12, 16, 24, 36, 48]","[93, 8, 7, 1, 15, 2, 4]",1160,10.08695652173913,12.13199714354877,130,1.1304347826086956,1.4465861443144123,0.1826086956521739,11.402646502835536,0,AY,166
10001025001,黑松汽水Can 245ml,40.0,27.0,10.0,10800.0,6.8,24,450.0,PCS,"[24, 48, 72, 192]","[223, 71, 2, 1]",9096,40.78923766816144,39.15441216208686,297,1.3318385650224216,0.9214467424449256,0.0941704035874439,54.32467976432263,0,AY,567
10001035001,黑松CC氣泡飲葡萄 500ml,42.0,28.0,23.0,27048.0,13.682,24,1127.0,PCS,"[4, 8, 12, 20, 24, 32, 48]","[66, 13, 4, 1, 8, 1, 1]",708,8.85,9.518935160104752,94,1.175,1.1568850149354084,0.2625,10.39875,1,BY,134
10001041001,Mountain Dew 激浪汽水 500ml,42.0,28.0,26.0,30576.0,15.55,24,1274.0,PCS,"[4, 8, 12, 20, 24, 48]","[18, 1, 1, 1, 2, 2]",256,10.666666666666666,13.327534971096386,25,1.0416666666666667,1.5611413043478266,0.875,11.11111111111111,0,AY,180
10001043001,雪碧纖維+ Pet 600ml,45.0,30.0,24.0,32400.0,15.7,24,1350.0,PCS,"[4, 8, 12, 16, 24, 48]","[18, 12, 3, 6, 23, 5]",1092,21.0,20.623611064344026,67,1.2884615384615383,0.964474678760393,0.4038461538461538,27.05769230769231,0,AY,297
10001044001,黑松CC乳酸菌氣泡飲 510ml,40.0,27.0,25.0,27000.0,13.748,24,1125.0,PCS,"[4, 8]","[2, 1]",16,5.333333333333333,2.309401076758503,3,1.0,0.1874999999999999,7.0,5.333333333333333,1,BY,46
10002001001,維他露P 250ml,41.0,28.0,10.0,11480.0,6.82,24,478.3,PCS,"[24, 48, 72]","[237, 80, 3]",9744,46.84615384615385,35.83611899674913,320,1.5384615384615383,0.5851861777298073,0.1009615384615384,72.07100591715977,0,AY,557
10002003001,黑松加鹽沙士600 ml,43.0,28.0,24.0,28896.0,16.03,24,1204.0,PCS,"[4, 8, 12, 16, 24, 28, 32, 48]","[91, 24, 8, 4, 32, 1, 2, 10]",2056,15.343283582089551,18.77572600144619,172,1.2835820895522387,1.4974655977101532,0.1567164179104477,19.694364000891067,0,AY,255
10002005001,蘋果西打330ml,40.0,27.0,13.0,14040.0,9.56,24,585.0,PCS,"[6, 12, 18, 24, 30, 36, 48, 72, 168]","[215, 37, 8, 87, 2, 3, 15, 1, 1]",5094,18.797047970479703,20.530360322141195,369,1.3616236162361623,1.1929269325735197,0.077490774907749,25.594504432129195,0,AY,287
10002006001,蘋果西打2L,34.0,23.0,31.0,24242.0,13.37,6,4040.3,PCS,"[1, 2, 3, 4, 6, 7, 12, 18, 22, 24, 36, 48]","[188, 95, 39, 1, 52, 1, 29, 11, 4, 9, 1, 3]",1848,6.623655913978495,13.195743246351263,433,1.5519713261648749,3.968918548750137,0.075268817204301,10.27972405287702,1,BY,163
10002007001,芬達橘子汽水330ml,40.0,28.0,12.0,13440.0,8.89,24,560.0,PCS,"[6, 12, 18, 24, 48]","[118, 27, 4, 39, 13]",2664,15.578947368421051,15.734877746871067,201,1.1754385964912282,1.0201182700983973,0.1228070175438596,18.312096029547558,0,AY,225
