new_product_code;allocation_type;corresponding_historical_product
14223046001;random_allocation;
14225008001;random_allocation;
14241001001;common_allocation;14241004001
14243076001;common_allocation;14210047001
14304014001;random_allocation;
14304084001;common_allocation;14304157001
14304301001;random_allocation;
14304302001;random_allocation;
14310096001;common_allocation;14310209001
14310101001;random_allocation;
14311076001;random_allocation;
14311262001;common_allocation;14311095001
14312012001;random_allocation;
14333004001;common_allocation;14333006001
14353009001;common_allocation;14601009001
14353030001;random_allocation;
14361122001;random_allocation;
14361124001;random_allocation;
14370073001;common_allocation;14370025001
14411901001;random_allocation;
14501905001;random_allocation;
14502044001;common_allocation;14506887001
14506006001;common_allocation;14506001001
14506012001;common_allocation;14506038001
14506122001;common_allocation;14506041001
14506132001;common_allocation;14506139001
14506357001;common_allocation;14506033001
14509021001;common_allocation;14509035001
14509037001;common_allocation;14509035001
14510121001;random_allocation;
14510194001;common_allocation;14510294001
14522044001;common_allocation;14521148001
14602013001;random_allocation;
14602033001;random_allocation;
14602085001;random_allocation;
14603001001;common_allocation;14603026001
14603013001;common_allocation;14603026001
14612922001;random_allocation;
14615059001;random_allocation;
14615076001;common_allocation;14833033001
14616053001;common_allocation;14616038001
14616075001;random_allocation;
14620035001;random_allocation;
14620124001;random_allocation;
14620168001;random_allocation;
14621062001;common_allocation;14621012001
14631042001;random_allocation;
14632019001;common_allocation;14506145001
14634023001;common_allocation;14822965001
14700031001;random_allocation;
14701067001;common_allocation;14301109001
14720003001;common_allocation;14720022001
14740035001;random_allocation;
14741050001;common_allocation;14741049001
14832009001;random_allocation;
14832044001;random_allocation;
14850003001;common_allocation;14850175001
14850036001;common_allocation;14850135001
14850082001;random_allocation;
14850103001;random_allocation;
14851006001;common_allocation;14851121001
14852006001;common_allocation;14852008001
14853047001;common_allocation;14853046001
14853049001;random_allocation;
15022014001;random_allocation;
15023036001;common_allocation;15023035001
15023038001;random_allocation;
30045079001;random_allocation;
30071044001;random_allocation;
30073022001;random_allocation;
30430005001;random_allocation;
31118021001;common_allocation;30450010001
31175002001;common_allocation;65106036001
31182015001;common_allocation;31568043001
31215012001;random_allocation;
31226017001;common_allocation;31214010001
31251002001;common_allocation;31250003001
31270006001;random_allocation;
31422899001;random_allocation;
31455014001;random_allocation;
31530083001;common_allocation;31530043001
31533034001;common_allocation;31473004001
31545006001;random_allocation;
31568071001;common_allocation;31621032001
31580049002;random_allocation;
31581023001;common_allocation;31762901001
31602031001;random_allocation;
31621043001;common_allocation;31042914001
31623901001;random_allocation;
31670002001;common_allocation;31801024001
31677015001;random_allocation;
31677045001;common_allocation;31677014001
31753028001;common_allocation;30073068001
31801003001;random_allocation;
31827008001;random_allocation;
32404004002;random_allocation;
32411076001;common_allocation;31607015001
32412056001;random_allocation;
32420004001;common_allocation;31236033001
32420006001;random_allocation;
32420015001;common_allocation;32420014001
32431036001;common_allocation;31250003001
32431067001;common_allocation;31273002001
32470079001;common_allocation;32470025001
32503007002;common_allocation;32504025002
32503035001;common_allocation;32470093001
32507026001;random_allocation;
32510002001;common_allocation;32470093001
32511021001;common_allocation;31235904001
32514005001;random_allocation;
32517009001;common_allocation;31235904001
32524032001;common_allocation;35122015001
33523001001;common_allocation;33524002001
34122003001;common_allocation;31273002001
34511006001;random_allocation;
35301020001;common_allocation;35302003001
35302038001;common_allocation;35302040001
41201002001;common_allocation;41223066001
41202003001;random_allocation;
41212906001;common_allocation;41310001001
41220010001;common_allocation;41223010001
41232043001;random_allocation;
41232052001;random_allocation;
41244001001;common_allocation;41223066001
41301002001;random_allocation;
41302901001;common_allocation;41223066001
41303011001;common_allocation;41521020001
41303054001;random_allocation;
41333047001;common_allocation;41332022001
41401022001;random_allocation;
41417001001;common_allocation;41223066001
41420006001;common_allocation;41232047001
41422018001;common_allocation;41223010001
41601012001;common_allocation;41223010001
41601014001;common_allocation;41522089001
41601020001;common_allocation;41223066001
61063005002;common_allocation;61062008001
61064197001;common_allocation;61064012003
61070019001;common_allocation;61131059001
61080025003;random_allocation;
65011150001;common_allocation;31827020001
65090016001;random_allocation;
