series,count,mean,median,std,min,max,sum
orders_per_day,21.0000,2581.9524,1936.0000,1312.8672,1012.0000,5630.0000,54221.0000
line_items_per_day,21.0000,11948.8095,11146.0000,3514.1508,6577.0000,19657.0000,250925.0000
quantity_per_day,21.0000,95925.4286,86666.0000,29428.6021,46855.0000,163503.0000,2014434.0000
sales_per_day,21.0000,2667784.1506,2500231.4420,716693.4533,1441983.5167,3884550.3010,56023467.1628
