title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized
黑松CC檸檬氣泡飲can-330ml;飲料零食;83;黑松汽水C&C氣泡飲;規格：330ml毫升x1x6bottle瓶;黑松CC檸檬氣泡飲can 330ml;96;1;330,0;12,0;31;13.54%;1;10001020001,0;ml;6;bottle;13,833333333333334;16,0;13,541666666666663;volume;月;2,6968769005040847;2,833213344056216;0,0009871119329320005;0,21129115031993262;0,3040161888534909;0,20501328021248333
黑松C&C氣泡飲(檸檬)500ml;飲料零食;85;黑松汽水C&C氣泡飲;規格：500ml毫升x1x4bottle瓶;黑松CC檸檬氣泡飲PET 500ml;107;1;500,0;9,0;32;20.56%;1;10001022001,0;ml;4;bottle;21,25;26,75;20,5607476635514;volume;月;3,1023420086122493;3,3232358401924436;0,0007368582034562819;0,2537269285974869;0,35659774683617645;0,311278251480061
黑松汽水Can 245ml;飲料零食;235;黑松汽水;規格：245ml毫升x1x24bottle瓶;黑松汽水Can 245ml;264;1;245,0;9,0;33;10.98%;1;10001025001,0;ml;24;bottle;9,791666666666666;11,0;10,98484848484849;volume;月;2,378774231351592;2,4849066497880004;0,0007368582034562819;0,17799868182458595;0,26664135650430376;0,1663044790534831
黑松C&C氣泡飲(葡萄)500ml;飲料零食;85;黑松汽水C&C氣泡飲;規格：500ml毫升x1x4bottle瓶;黑松CC氣泡飲葡萄 500ml;107;1;500,0;9,0;34;20.56%;0;10001035001,0;ml;4;bottle;21,25;26,75;20,5607476635514;volume;月;3,1023420086122493;3,3232358401924436;0,0007368582034562819;0,2537269285974869;0,35659774683617645;0,311278251480061
維他露P 250ml;飲料零食;188;維他露P;規格：250ml毫升x1x24bottle瓶;維他露P 250ml;0;1;250,0;18,0;39;0.00%;1;10002001001,0;ml;24;bottle;7,833333333333333;0,0;0,0;volume;月;2,1785324443240666;0,0;0,0014876193918834373;0,15704147513459749;0,0;0,0
黑松加鹽沙士600ml;飲料零食;89;黑松沙士;規格：600ml毫升x1x4bottle瓶;黑松加鹽沙士600 ml;107;1;600,0;9,0;40;16.82%;1;10002003001,0;ml;4;bottle;22,25;26,75;16,822429906542055;volume;月;3,1463051320333655;3,3232358401924436;0,0007368582034562819;0,25832808741628605;0,35659774683617645;0,2546822057564136
蘋果西打330ml;飲料零食;95;蘋果西打;規格：330ml毫升x1x6bottle瓶;蘋果西打330ml;168;1;330,0;15,0;41;43.45%;0;10002005001,0;ml;6;bottle;15,833333333333334;28,0;43,45238095238095;volume;月;2,8233610476132047;3,367295829986474;0,0012373656624077188;0,22452891878635345;0,3613255765304019;0,6578448112312654
芬達橘子汽水330ml;飲料零食;83;Fanta 芬達;規格：330ml毫升x1x6bottle瓶;芬達橘子汽水330ml;94;1;330,0;12,0;43;11.70%;1;10002007001,0;ml;6;bottle;13,833333333333334;15,666666666666666;11,702127659574462;volume;月;2,6968769005040847;2,8134107167600364;0,0009871119329320005;0,21129115031993262;0,30189128029603945;0,1771636856828006
黑松加鹽沙士245ml;飲料零食;235;黑松沙士;規格：245ml毫升x1x24bottle瓶;加鹽黑松沙士Can245ml;264;1;245,0;12,0;44;10.98%;1;10002008001,0;ml;24;bottle;9,791666666666666;11,0;10,98484848484849;volume;月;2,378774231351592;2,4849066497880004;0,0009871119329320005;0,17799868182458595;0,26664135650430376;0,1663044790534831
金車麥根沙士PET-585ml;飲料零食;79;金車;規格：585ml毫升x1x4bottle瓶;金車麥根沙士PET585ml;95;1;585,0;11,0;47;16.84%;0;10002011001,0;ml;4;bottle;19,75;23,75;16,842105263157894;volume;月;3,0325462466767075;3,2088254890146994;0,0009036940231067609;0,24642213856998224;0,3443210155397432;0,2549800796812749
維他露P 330 ml;飲料零食;77;維他露;規格：330ml毫升x1x6bottle瓶;維他露P 330 ml;0;1;330,0;18,0;48;0.00%;0;10002012001,0;ml;6;bottle;12,833333333333334;0,0;0,0;volume;月;2,627081138568543;0,0;0,0014876193918834373;0,20398636029242795;0,0;0,0
AW 麥根沙士;飲料零食;50;AW;規格：355ml毫升x1x1can罐;AW 麥根沙士;0;1;355,0;9,0;49;0.00%;1;10002013001,0;ml;1;can;50,0;0,0;0,0;volume;月;3,9318256327243257;0,0;0,0007368582034562819;0,3405402756741782;0,0;0,0
維大力汽水Can330ml;飲料零食;82;維大力;規格：330ml毫升x1x6bottle瓶;維大力汽水Can330ml;84;1;330,0;18,0;50;2.38%;1;10002014001,0;ml;6;bottle;13,666666666666666;14,0;2,3809523809523854;volume;月;2,6855773452501515;2,70805020110221;0,0014876193918834373;0,210108544438928;0,290585635949443;0,036046291026370775
黑松沙士2L;飲料零食;39;黑松沙士;規格：2000ml毫升x1x1bottle瓶;黑松沙士2L;41;1;2000,0;9,0;51;4.88%;1;10002017001,0;ml;1;bottle;39,0;41,0;4,878048780487805;volume;月;3,6888794541139363;3,7376696182833684;0,0007368582034562819;0,31511364841889455;0,4010683046258606;0,07385093771256437
[限量]黑松沙士330mlX6入;飲料零食;83;黑松沙士;規格：330ml毫升x1x6bottle瓶;黑松沙士330ml;120;1;330,0;12,0;52;30.83%;0;10002018001,0;ml;6;bottle;13,833333333333334;20,0;30,83333333333333;volume;月;2,6968769005040847;3,044522437723423;0,0009871119329320005;0,21129115031993262;0,3266905792101371;0,4667994687915006
維大力加鹽沙士Can330 ml;飲料零食;119;維大力;規格：330ml毫升x1x6bottle瓶;維大力加鹽沙士Can330 ml;0;1;330,0;18,0;53;0.00%;1;10002019001,0;ml;6;bottle;19,833333333333332;0,0;0,0;volume;月;3,036554268074246;0,0;0,0014876193918834373;0,24684161611307154;0,0;0,0
黑松沙士1250 ml;飲料零食;300;黑松沙士;規格：1250ml毫升x1x12bottle瓶;黑松沙士1250 ml;369;1;1250,0;9,0;55;18.70%;1;10002025001,0;ml;12;bottle;25,0;30,75;18,69918699186992;volume;月;3,258096538021482;3,457892725338701;0,0007368582034562819;0,27002812084205313;0,37104701981836496;0,28309526123149675
芬達汽水橘子口味600ml;飲料零食;267;Fanta 芬達;規格：600ml毫升x1x12bottle瓶;芬達汽水橘子口味600ml;360;1;600,0;9,0;56;25.83%;0;10002026001,0;ml;12;bottle;22,25;30,0;25,833333333333336;volume;月;3,1463051320333655;3,4339872044851463;0,0007368582034562819;0,25832808741628605;0,36848185282954565;0,39110225763612216
維大力汽水2L;飲料零食;34;維大力;規格：2000ml毫升x1x1bottle瓶;維大力汽水2L;0;1;2000,0;9,0;57;0.00%;1;10002035001,0;ml;1;bottle;34,0;0,0;0,0;volume;月;3,5553480614894135;0,0;0,0007368582034562819;0,3011383187118667;0,0;0,0
七星藍莓汽泡香檳飲料750ml;飲料零食;65;七星;規格：750ml毫升x1x1bottle瓶;七星藍莓汽泡香檳飲料750ml;69;1;750,0;24,0;58;5.80%;1;10002037001,0;ml;1;bottle;65,0;69,0;5,797101449275362;volume;月;4,189654742026425;4,248495242049359;0,001988126850834874;0,3675245431168023;0,4558821292295903;0,08776488249898955
七星紅葡萄氣泡香檳飲料750ml;飲料零食;65;七星;規格：750ml毫升x1x1bottle瓶;七星紅葡萄氣泡香檳飲料750ml;69;1;750,0;24,0;59;5.80%;1;10002038001,0;ml;1;bottle;65,0;69,0;5,797101449275362;volume;月;4,189654742026425;4,248495242049359;0,001988126850834874;0,3675245431168023;0,4558821292295903;0,08776488249898955
七星白葡萄汽泡香檳飲料750 ml;飲料零食;65;七星;規格：750ml毫升x1x1bottle瓶;七星白葡萄汽泡香檳飲料750 ml;69;1;750,0;24,0;60;5.80%;1;10002039001,0;ml;1;bottle;65,0;69,0;5,797101449275362;volume;月;4,189654742026425;4,248495242049359;0,001988126850834874;0,3675245431168023;0,4558821292295903;0,08776488249898955
芬達橘子汽水2L;飲料零食;39;Fanta 芬達;規格：2000ml毫升x1x1bottle瓶;芬達橘子汽水2L;50;1;2000,0;9,0;61;22.00%;1;10002040001,0;ml;1;bottle;39,0;50,0;22,0;volume;月;3,6888794541139363;3,9318256327243257;0,0007368582034562819;0,31511364841889455;0,4219020945263476;0,33306772908366533
黑松加鹽沙士2L;飲料零食;39;黑松;規格：2000ml毫升x1x1bottle瓶;黑松加鹽沙士2L;41;1;2000,0;9,0;62;4.88%;1;10002045001,0;ml;1;bottle;39,0;41,0;4,878048780487805;volume;月;3,6888794541139363;3,7376696182833684;0,0007368582034562819;0,31511364841889455;0,4010683046258606;0,07385093771256437
金車麥根沙士can-330ml;飲料零食;90;金車;規格：330ml毫升x1x6bottle瓶;金車麥根沙士can330ml;108;1;330,0;18,0;63;16.67%;1;10002046001,0;ml;6;bottle;15,0;18,0;16,666666666666664;volume;月;2,772588722239781;2,9444389791664403;0,0014876193918834373;0,21921511224888024;0,31595118618080426;0,2523240371845949
維他露P 2L;飲料零食;41;維他露;規格：2000ml毫升x1x1bottle瓶;維他露P 2L;45;1;2000,0;10,0;64;8.89%;0;10002051001,0;ml;1;bottle;41,0;45,0;8,88888888888889;volume;月;3,7376696182833684;3,828641396489095;0,0008202761132815215;0,3202200029421725;0,41082997448434533;0,13457281983178399
金車麥根沙士Pet 2000ml;飲料零食;45;金車;規格：2000ml毫升x1x1bottle瓶;金車麥根沙士Pet 2000ml;0;1;2000,0;11,0;65;0.00%;1;10002069001,0;ml;1;bottle;45,0;0,0;0,0;volume;月;3,828641396489095;0,0;0,0009036940231067609;0,3297410643905061;0,0;0,0
金車奧利多水Pet585ml;飲料零食;90;金車;規格：585ml毫升x1x4bottle瓶;金車奧利多水Pet585ml;95;1;585,0;13,0;66;5.26%;1;10002071001,0;ml;4;bottle;22,5;23,75;5,263157894736842;volume;月;3,1570004211501135;3,2088254890146994;0,00107052984275724;0,25944745110133977;0,3443210155397432;0,07968127490039839
金車奧利多水Pet2000ml;飲料零食;45;金車;規格：2000ml毫升x1x1bottle瓶;金車奧利多水Pet2000ml;48;1;2000,0;11,0;67;6.25%;0;10002072001,0;ml;1;bottle;45,0;48,0;6,25;volume;月;3,828641396489095;3,8918202981106265;0,0009036940231067609;0,3297410643905061;0,4176093470745608;0,0946215139442231
微舒打葡萄can-320ml;飲料零食;90;;規格：320ml毫升x1x6can罐;微舒打葡萄can320ml;0;1;320,0;12,166666666666666;68;0.00%;0;10002073001,0;ml;6;can;15,0;0,0;0,0;volume;月;2,772588722239781;0,0;0,0010010149179028737;0,21921511224888024;0,0;0,0
蘋果西打 1250ml;飲料零食;42;;規格：1250ml毫升x1x1bottle瓶;蘋果西打1250ml;0;1;1250,0;9,0;69;0.00%;1;10002074001,0;ml;1;bottle;42,0;0,0;0,0;volume;月;3,7612001156935624;0,0;0,0007368582034562819;0,3226826931981074;0,0;0,0
金車冰淇淋汽水Pet 2000ml;飲料零食;270;金車;規格：2000ml毫升x1x6bottle瓶;金車冰淇淋汽水Pet 2000ml;360;1;2000,0;11,0;70;25.00%;1;10002078001,0;ml;6;bottle;45,0;60,0;25,0;volume;月;3,828641396489095;4,110873864173311;0,0009036940231067609;0,3297410643905061;0,44111475320603166;0,3784860557768924
維大力零熱量汽水 330ml;飲料零食;238;維大力;規格：330ml毫升x1x24can罐;維大力零熱量汽水 330ml;476;1;330,0;18,0;71;50.00%;1;10002102001,0;ml;24;can;9,916666666666666;19,833333333333332;50,0;volume;月;2,3902906734131513;3,036554268074246;0,0014876193918834373;0,17920398697192863;0,32583555974117867;0,7569721115537849
黑松加鹽沙士330mlx6;飲料零食;83;黑松沙士;規格：330ml毫升x1x6can罐;黑松加鹽沙士330 ml;120;1;330,0;12,0;72;30.83%;1;10002899001,0;ml;6;can;13,833333333333334;20,0;30,83333333333333;volume;月;2,6968769005040847;3,044522437723423;0,0009871119329320005;0,21129115031993262;0,3266905792101371;0,4667994687915006
美粒果零加糖蘋果蘇打500ml;飲料零食;76;美粒果;規格：500ml毫升x1x4bottle瓶;美粒果蘋果蘇打Pet 500ml;100;1;500,0;9,0;73;24.00%;1;10002906001,0;ml;4;bottle;19,0;25,0;24,0;volume;月;2,995732273553991;3,258096538021482;0,0007368582034562819;0,24256920629612877;0,3496080146890591;0,3633466135458167
樹頂蘋果氣泡飲(320ml );飲料零食;114;樹頂 Tree Top;規格：320ml毫升x1x6can罐;樹頂蘋果氣泡飲320ml;132;1;320,0;18,0;75;13.64%;0;10002911001,0;ml;6;can;19,0;22,0;13,636363636363635;volume;月;2,995732273553991;3,1354942159291497;0,0014876193918834373;0,24256920629612877;0,33645224906862176;0,20644693951466855
美粒果零加糖蘋果蘇打1250ml;飲料零食;31;美粒果;規格：1250ml毫升x1x1bottle瓶;美粒果蘋果蘇打1250ml;0;1;1250,0;9,0;77;0.00%;0;10002916001,0;ml;1;bottle;31,0;0,0;0,0;volume;月;3,4657359027997265;0,0;0,0007368582034562819;0,2917595543716461;0,0;0,0
維大力蘋果風味氣水2000ml;飲料零食;34;維大力;規格：2000ml毫升x1x1bottle瓶;維大力蘋果風味氣水2000ml;0;1;2000,0;9,0;79;0.00%;0;10002918001,0;ml;1;bottle;34,0;0,0;0,0;volume;月;3,5553480614894135;0,0;0,0007368582034562819;0,3011383187118667;0,0;0,0
維大力白葡萄風味氣水2000ml;飲料零食;34;維大力;規格：2000ml毫升x1x1bottle瓶;維大力白葡萄風味氣水2000ml;0;1;2000,0;9,0;80;0.00%;1;10002919001,0;ml;1;bottle;34,0;0,0;0,0;volume;月;3,5553480614894135;0,0;0,0007368582034562819;0,3011383187118667;0,0;0,0
黑松CC氣泡飲蘋果口味330ml;飲料零食;83;黑松汽水C&C氣泡飲;規格：330ml毫升x1x6can罐;黑松CC氣泡飲蘋果口味330ml;120;1;330,0;15,0;85;30.83%;0;10002942001,0;ml;6;can;13,833333333333334;20,0;30,83333333333333;volume;月;2,6968769005040847;3,044522437723423;0,0012373656624077188;0,21129115031993262;0,3266905792101371;0,4667994687915006
維大力白葡萄風味氣水330ml;飲料零食;119;維大力;規格：330ml毫升x1x6can罐;維大力白葡萄風味氣水330ml;0;1;330,0;18,0;86;0.00%;0;10002943001,0;ml;6;can;19,833333333333332;0,0;0,0;volume;月;3,036554268074246;0,0;0,0014876193918834373;0,24684161611307154;0,0;0,0
維大力蘋果風味氣水330ml;飲料零食;119;維大力;規格：330ml毫升x1x6can罐;維大力蘋果風味氣水330ml;0;1;330,0;18,0;87;0.00%;1;10002944001,0;ml;6;can;19,833333333333332;0,0;0,0;volume;月;3,036554268074246;0,0;0,0014876193918834373;0,24684161611307154;0,0;0,0
波蜜一日蔬果100蔬果汁 250ml;飲料零食;79;波蜜;規格：250ml毫升x1x6bottle瓶;波蜜一日蔬果100蔬果汁 250ml;92;1;250,0;12,0;90;14.13%;1;10010001001,0;ml;6;bottle;13,166666666666666;15,333333333333334;14,130434782608702;volume;月;2,6508917872622613;2,793208009442517;0,0009871119329320005;0,20647837104355238;0,2997234414017042;0,21392690109128712
紅牌速纖纖維飲料TP250ml;飲料零食;159;紅牌;規格：250ml毫升x1x24bottle瓶;紅牌速纖纖維飲料TP250ml;0;1;250,0;12,0;92;0.00%;1;10010004001,0;ml;24;bottle;6,625;0,0;0,0;volume;月;2,031432322493475;0,0;0,0009871119329320005;0,14164604891967653;0,0;0,0
波蜜100%紫色蔬果汁;飲料零食;79;波蜜;規格：250ml毫升x1x6bottle瓶;100紫色蔬果汁TP250ml;88;1;250,0;12,0;94;10.23%;1;10010007001,0;ml;6;bottle;13,166666666666666;14,666666666666666;10,227272727272728;volume;月;2,6508917872622613;2,751535313041949;0,0009871119329320005;0,20647837104355238;0,29525177873446173;0,15483520463600145
波蜜BCE果菜汁Pet580ml;飲料零食;85;波蜜;規格：580ml毫升x1x4bottle瓶;波蜜BCE果菜汁Pet580ml;92;1;580,0;12,0;95;7.61%;1;10010009001,0;ml;4;bottle;21,25;23,0;7,608695652173914;volume;月;3,1023420086122493;3,1780538303479458;0,0009871119329320005;0,2537269285974869;0,3410190819200273;0,11519140827992379
