item_code;註記;(箱)長cm;(箱)寬cm;(箱)高cm;(箱)重量;箱入數;板入數;庫存量;庫存單位;庫存換算(箱);目前庫存(PCS)
10023044001;天地合補葉黃素功能飲60mlx18;56;32;20;11.28;4;48;184;PCS;46;33
10023049001;白蘭氏雙認證雞精68mlx19;37;32;20;10.33;3;63;129;PCS;43;2
10023051001;桂格養氣人蔘雞精雙效滋補18入;69;29;20;14.54;4;28;212;PCS;53;40
10023054001;天地合補含鐵玫瑰四物飲12入;54;25;13;10.2;3;96;99;PCS;33;23
10023055001;桂格雙效活靈芝盒裝16瓶;42;39;19;11.53;4;54;18;PCS;4.5;8
10023057001;白蘭氏雙認證雞精41mlx36;30;22;24;10.19;2;80;23;PCS;11.5;#N/A
10023058001;白蘭氏強化型金盞花葉黃素精華飲60ml*14入;42;28;20;10.41;4;63;29;PCS;7.3;12
10023061001;華陀扶元堂養氣雙蔘飲60mlx6;36;18;18;7;6;120;54.66666667;PCS;9.2;5
10023063001;白蘭氏冬蟲夏草雞精68mlx18;37;33;21;10.45;3;54;23;PCS;7.7;9
10023064001;天地合補青木瓜四物鐵120mlx6;53;25;12;10.03;6;88;90;PCS;15;22
10023066001;白蘭氏養蔘飲60mlx18;48;33;20;12.88;4;49;20.66666667;PCS;5.2;19
10023068001;桂格冬蟲夏草養氣人蔘60mlx16;42;37;19;11.6;4;54;10.33333333;PCS;2.6;6
10023073001;白蘭氏兒童學進雞精41mlx6;31;21;16;6.7;6;128;198;PCS;33;4
10023075001;桂格5X人蔘濃縮精華飲盒裝15ml*18包;41;31;15;3.93;6;77;12;PCS;2;8
10023078001;白蘭氏關鍵活躍雞精69mlx15入;39;29;20;11.4;4;60;16;PCS;4;7
10023079001;白蘭氏萃雞精膠原蛋白菁萃50ml*9;41;36;22;6.2;6;36;42;PCS;7;10
10023080001;華陀扶元堂龜鹿雙寶葡萄糖胺飲60mlx6;36;18;18;6.97;6;120;123;PCS;20.5;4
10023083001;白蘭氏雙認證雞精 68mlX12;35;24;25;13.83;6;65;53.33333333;PCS;8.9;11
10023087001;白蘭氏冰糖燕窩68mlx6;36;25;17;9.18;8;91;31;PCS;3.9;0
10023093001;桂格養氣人蔘60mlX6;37;36;22;12.546;12;60;687;PCS;57.3;77
10023100001;桂格5X蜜人蔘濃縮精華飲盒裝15ml*18包;47;31;15;4.01;6;70;12;PCS;2;12
10023102001;白蘭氏冰糖燕窩禮盒70gx5;48;36;22;8.95;6;42;27;PCS;4.5;6
10023103001;老協珍熬雞精42mlx7入;62;38;25;11.812;20;30;60;PCS;3;36
10023104001;老協珍人蔘精60mlx7入 老協珍人蔘精7;38;32;28;13.742;10;45;12;PCS;1.2;20
10023106001;李時珍養氣人蔘精華飲35mlx18入;35;24;22;3.73;4;98;107;PCS;26.8;72
10023107001;華佗粉光蔘靈芝雞精68mlx18;36;25;27;13.37;4;60;71;PCS;17.8;19
10023110001;天地合補含鐵玫瑰四物120ml x6;53;25;12;7.25;6;96;160;PCS;26.7;27
10023111001;桂格5X蟲草人蔘濃縮精華飲盒裝15ml*16包;48;32;15;3.912;6;77;12;PCS;2;12
10023114001;老協珍熬雞精暖薑口味42mlx14入;60;38;30;12.48;12;25;35;PCS;3;29
10023124001;老協珍人蔘精麥蘆卡蜂蜜口味60mlx14入;46;37;22;14;5;42;46;PCS;9.2;9
10023892001;天地合補葡萄糖胺18入;57;32;20;9.38;4;48;89.66666667;PCS;22.5;11
10023991001;正官庄高麗蔘精Everytime秘10mlx20;33;31;25;4.63;6;77;26;PCS;4.4;44
10023998001;天地合補金盞花葉黃素濃縮飲15mlx16入;46;30;16;3.77;6;80;21;PCS;3.5;2
10023999001;農純鄉滴雞精50mlx8入;46;34;28;8.14;11;42;39;PCS;3.6;24
10024001001;健酪原味乳酸飲料;40;27;13;8.59;24;99;1223;PCS;51;126
10024003001;健酪乳酸飲料原味Pet1450ml;38;29;32;19.87;12;40;482;PCS;40.2;8
10024004001;開心成長可爾必思蘋果口味160ml;33;16;10;4.37;24;210;3228;PCS;134.5;1212
10024005001;健酪水蜜桃乳酸飲料;40;27;13;8.85;24;99;282;PCS;11.8;264
10024006001;健酪藍莓乳酸飲料;40;27;13;8.59;24;99;216;PCS;9;18
10024007001;開心成長可爾必思160ml;33;16;10;4.4;24;210;8280;PCS;345;954
10024010001;可爾必思乳酸菌飲料Can335ml;41;27;12;8.9;24;100;2994;PCS;124.8;30
10024011001;可爾必思乳酸菌飲料Pet500ml;41;29;21;13.3;24;63;5008;PCS;208.7;388
10024014001;健酪乳酸飲料原味Pet580ml;39;26;24;16.08;24;54;1527;PCS;63.7;64
10024898001;可爾必思乳酸菌發酵乳500ml;29;22;24;8.51;12;108;68;PCS;5.7;0
10024900001;SAKI 清涼脫脂乳飲料 250ML;33;27;14;8.5;30;144;117;PCS;3.9;48
10024901001;葡萄王多益點益生菌飲料530ml;41;27;24;14.25;24;60;0;PCS;0;24
10030001001;開喜凍頂烏龍茶無糖1.5L;38;28;32;19.37;12;44;465;PCS;38.8;25
10030003001;光泉冷泡烏龍茶無糖Pet585 ml;42;29;24;15.358;24;56;7301;PCS;304.3;1264
10030005001;開喜凍頂烏龍茶有糖Pet1500ml;38;28;32;19.37;12;44;909;PCS;75.8;245
10030007001;原萃文山包種烏龍茶580ml;38;25;24;14.88;24;60;11012;PCS;458.9;2356
10030008001;原萃冷萃金萱烏龍 450ml;40;27;19;12.05;24;70;4296;PCS;179;624
