sku,product_name,observations,nonzero_observations,zero_value_pct,avg_nonzero_demand,std_nonzero_demand,cv_nonzero_demand_pct
11020003001,新-魔術靈玻璃清潔劑經濟瓶:玻璃清潔經濟瓶,21,5,76.1905,2.6000,1.6733,64.3585
11020008001,新威猛先生玻璃噴槍:新威猛玻璃噴槍,21,4,80.9524,7.2500,7.4554,102.8334
11020010001,新威猛先生玻璃重裝:威猛玻璃重裝,21,3,85.7143,4.6667,3.0551,65.4654
11020012001,家福玻璃清潔劑,21,7,66.6667,1.8571,1.4639,78.8227
11020013001,妙管家玻璃亮光清潔劑:噴槍瓶,21,6,71.4286,1.6667,1.0328,61.9677
11021002001,白博士廚房去污濕巾60入:白博士,21,2,90.4762,1.5000,0.7071,47.1405
11021006001,威猛先生廚房超強效:威猛先生超強效,21,8,61.9048,1.6250,1.1877,73.0914
11021013001,魔術靈廚房清潔劑--桶裝:廚房清潔劑,21,12,42.8571,2.5833,1.9287,74.6575
11021017001,橘子工坊廚房爐具專用清潔劑,21,9,57.1429,1.6667,0.7071,42.4264
11021018001,新-廚房魔術靈噴槍:廚房魔術靈噴槍,21,3,85.7143,3.3333,4.0415,121.2436
11021023001,白博士廚房清潔劑噴槍型:廚房清潔噴槍瓶,21,7,66.6667,1.0000,0.0000,0.0000
11021025001,清檜-抗菌驅蟲萬用清潔劑600ml:驅蟲萬用清潔劑,21,6,71.4286,2.1667,1.9408,89.5749
11021026001,家福強效廚房清潔劑:家福廚房清潔劑,21,7,66.6667,3.7143,4.2314,113.9224
11021028001,毛寶小蘇打廚房清潔劑噴槍瓶:小蘇打廚房清潔,21,5,76.1905,2.0000,1.7321,86.6025
11021029001,新-廚房魔術靈經濟瓶2入裝:廚房魔術靈經濟,21,14,33.3333,2.5714,2.5027,97.3290
11021030001,新-廚房魔術靈青蘋不刺鼻噴槍:青蘋不刺鼻噴槍,21,7,66.6667,2.8571,1.9518,68.3130
11021047001,台糖酒精擦隨身包,21,10,52.3810,2.9000,0.9944,34.2907
11021051001,高樂氏居家殺菌濕紙巾:殺菌濕紙巾清新,21,2,90.4762,3.0000,1.4142,47.1405
