商品名称;count
海太加鈣營養餅乾;377
無聊派大仙貝酥:大仙貝酥;377
統一阿Q排骨雞汁(碗) 107g;376
家樂福超值純水  1500ml;375
寶卡卡量販包:寶卡卡綜合量販;374
77巧菲斯夾心酥(牛奶口味)300G:巧菲斯夾心酥;370
蘋果西打330ml;369
舒跑(小)Can245ml;368
滿漢大餐珍味牛肉麵(碗)187g;365
伯朗咖啡原味Can240ml:金車伯朗咖啡;364
波蜜靠茶初茗紅茶 250ml:靠茶初茗紅茶TP;364
義美臻果巧克力酥片 (牛奶巧克力);363
義美煎餅-海苔;359
黑松蘋安福氣組 460mlx12;359
大茂三寶組合罐 170g;358
滿漢大餐蔥燒豬肉麵(大碗)193g;356
義美榛果巧克力酥片(黑可可);356
義美天然取向蘇打餅乾(紫菜);356
每朝健康雙纖綠茶650ml;355
波蜜漢宮冬瓜茶TP250ml;355
味味A肉骨茶麵(袋) 85g:肉骨茶袋麵;351
神氣包--野菜園:神氣包--野菜園;350
小王子麵-原味(減鹽);350
開喜凍頂烏龍茶微糖TP 250ml;349
盛香珍濃厚芋頭牛奶巧克酥:*芋頭牛奶巧克;349
立頓瑞士巧克力奶茶TP250ml:瑞士巧克力奶茶;348
奇多玉米濃湯口味隨口脆:濃湯隨手脆;345
愛之味青脆菜心180g:青脆菜心;345
茶裏王日式綠茶無糖600ml;344
波蜜多果汁TP250ml;344
義美蛋捲(平安款):義美蛋捲;343
CROWN原味營養餅乾;339
家樂福超值純水  600ml;335
農心辛拉麵超值包120g x5;332
茉莉茶園茉香柚茶 250ml:光泉茉莉柚茶;332
味丹多喝水6200ml;332
愛之味健康油切分解茶無糖 590ml;331
家樂福優質抽取式衛生紙;330
一度贊-爌肉(碗) 200g;328
多力多滋超濃起司迷你脆:多力多滋起司;328
台糖貳號砂糖;326
華元蚵仔煎洋芋片:蚵仔煎洋芋片;326
奧利奧巧克力三明治餅乾原味香:巧克力三明治;325
得意的一天國民優質健康調合2L;324
礦沛氣泡水PET585ml:礦沛氣泡水;323
愛之味壺底蔭瓜140g:壺底蔭瓜;320
盛香珍濃厚檸檬巧克酥:*濃厚檸檬巧克;320
義美牛奶夾心酥經濟包;320
維他露P 250ml;320
大茂黑瓜 170g;320
盛香珍小魚干花生;318
愛之味醬菜三寶組合包:醬菜三寶組合包;317
可樂果古早味量販包:可樂果古早味量;315
拉麵道-日式豚骨(杯)73G;313
每朝健康綠茶無糖650ml;313
科學麵香蔥雞汁風味40g;311
樂事雞汁家庭號;311
中祥自然之顏蔬菜餅乾量販包:香蔥蘇打餅乾;310
泰山花生仁湯 320g;309
孔雀咖啡捲心餅;307
可口可樂 Zero 330ml;306
台糖貳號砂糖500克;305
皇家穀堡一等特賞米(圓ㄧ)2.5Kg;304
樂天小熊餅-巧克力風味(家庭號);300
中興外銷日本之米(圓ㄧ)3Kg;300
韓式小雞麵(香辣味)28gx24:韓式小雞麵-辣;300
百事綜合歡樂包:樂事綜合歡樂包;299
得意優質抽取式衛生紙;298
悅氏天然水6000ml;298
鹹酥餅歡樂包:鹹酥餅歡樂包;298
Custard Cake-蛋黃派(卡士達口味蛋糕:野川蛋黃派;298
黑松汽水Can 245ml:黑松汽水245ml;297
Asahi 十六茶 530ml;296
泰山冰鎮葡萄鮮冰茶 250ml:泰山冰鎮葡萄茶;295
維力炸醬麵(包)-素食 90g;294
新東陽辣味肉醬 160g;294
維力素飄香麻辣燙風味麵90g:素飄香麻辣燙;294
義美紅麴養生薄餅;293
康寶濃湯-自然原味金黃玉米56.3G;292
同榮易開豆鼓鰻:同榮易開豆鼓鰻;291
統一大補帖當歸鴨細麵(碗)102g;291
舒跑Pet590ml;290
義美錫蘭紅茶TP250ml:義美錫蘭紅茶;290
爽健美茶PET 535ml:爽健美茶;290
