series,count,mean,median,std,min,max,sum
item_quantity,250925.0000,8.0280,2.0000,15.9713,1.0000,1080.0000,2014434.0000
price_per_piece,250925.0000,68.7622,44.0000,107.9676,0.9700,5999.0000,17254154.1288
sales,250925.0000,223.2678,120.0000,348.0862,0.9700,22260.0000,56023467.1628
