title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;is_new_product
丹 鮪魚雞肉貓罐-185g;休閒娛樂;25;丹Dan;規格：185g克x1x1can罐;丹沙丁鮭魚貓罐 185公克;0;1;185,0;36,0;8998;0.00%;0;14853047001,0;g;1;can;25,0;0,0;0,0;weight;月;3,258096538021482;0,0;0,0029891417687377;0,2700281208420531;0,0;0,0;1
家樂福狗乾糧-牛肉口味15Kg;休閒娛樂;499;家樂福;規格：15kg公斤x1x1bag袋;家樂福狗乾糧-牛肉口味;519;1;15000,0;12,0;8896;3.85%;1;14850001001,0;g;1;bag;499,0;519,0;3,853564547206165;weight;月;6,214608098422191;6,253828811575473;0,000987111932932;0,5794551628816891;0,6710631957970925;0,0583408178461491;0
【安心價】【狗食】寶路狗乾糧牛肉及蔬菜口味3kg;休閒娛樂;299;寶路;規格：3kg公斤x1x1pack包;寶路乾糧雞肉及蔬菜口味3kg;309;1;3000,0;18,0;8901;3.24%;1;14850009001,0;g;1;pack;299,0;309,0;3,2362459546925564;weight;月;5,703782474656201;5,736572297479192;0,0014876193918834;0,5259924049892291;0,6155593085218555;0,0489949586766203;0
家樂福狗乾糧-牛肉+雞肉口味15 Kg;休閒娛樂;499;家樂福;規格：15kg公斤x1x1bag袋;家樂福狗乾糧-牛肉+雞肉口味;519;1;15000,0;12,0;8902;3.85%;1;14850010001,0;g;1;bag;499,0;519,0;3,853564547206165;weight;月;6,214608098422191;6,253828811575473;0,000987111932932;0,5794551628816891;0,6710631957970925;0,0583408178461491;0
家樂福狗乾糧-牛肉+羊肉口味15Kg;休閒娛樂;499;家樂福;規格：15kg公斤x1x1bag袋;家樂福狗乾糧-牛肉+羊肉口味;519;1;15000,0;12,0;8903;3.85%;1;;g;1;bag;499,0;519,0;3,853564547206165;weight;月;6,214608098422191;6,253828811575473;0,000987111932932;0,5794551628816891;0,6710631957970925;0,0583408178461491;0
寶多福美食犬餐-牛肉-7.5Kg;休閒娛樂;349;寶多福;規格：7.5kg公斤x1x1pack包;寶多福(美食犬餐牛肉) 7.5Kg;0;1;7500,0;12,0;8907;0.00%;1;14850020001,0;g;1;pack;349,0;0,0;0,0;weight;月;5,857933154483459;0,0;0,000987111932932;0,5421257391274127;0,0;0,0;0
寶多福美食犬餐-牛肉口味-15kg;休閒娛樂;649;寶多福;規格：15kg公斤x1x1bag袋;寶多福美食犬餐牛肉口味15kg;810;1;15000,0;12,0;8908;19.88%;0;14850034001,0;g;1;bag;649,0;810,0;19,876543209876544;weight;月;6,476972362889683;6,698268054115413;0,000987111932932;0,6069140774276135;0,7187534712143623;0,3009197776794058;0
加好寶經典狗糧-雞肉15Kg;休閒娛樂;629;加好寶;規格：15kg公斤x1x1pack包;加好寶經典狗糧-雞肉15Kg;669;1;15000,0;18,0;8911;5.98%;1;14850042001,0;g;1;pack;629,0;669,0;5,9790732436472345;weight;月;6,4457198193855785;6,507277712385012;0,0014876193918834;0,6036432016352729;0,6982593718474667;0,0905198339675676;0
葛莉思犬食-牛肉大餐 15Kg;休閒娛樂;559;葛莉思;規格：15kg公斤x1x1bag袋;葛莉思犬食-牛肉大餐 15Kg;729;1;15000,0;18,0;8914;23.32%;1;14850060001,0;g;1;bag;559,0;729,0;23,319615912208505;weight;月;6,327936783729195;6,593044534142437;0,0014876193918834;0,59131608720293;0,7074625271041898;0,3530459779537542;0
葛莉思犬食--成長保健配方2Kg;休閒娛樂;159;葛莉思;規格：2kg公斤x1x1bag袋;葛莉思犬食--關節保健配方2Kg;181;1;2000,0;18,0;8917;12.15%;1;14850081001,0;g;1;bag;159,0;181,0;12,154696132596683;weight;月;5,075173815233827;5,204006687076795;0,0014876193918834;0,4602025326644262;0,5584126882263395;0,1840153199357267;0
寶路成犬專用-牛肉+蔬菜10KG;休閒娛樂;874;寶路;規格：10kg公斤x1x1bag袋;寶路成犬專用-牛肉+蔬菜10KG;949;1;10000,0;18,0;8924;7.90%;1;14850106001,0;g;1;bag;874,0;949,0;7,903055848261328;weight;月;6,774223886357614;6,856461984594587;0,0014876193918834;0,6380242752974271;0,7357283721497004;0,1196478574637173;0
席瑞思犬食-牛肉口味18.14kg;休閒娛樂;599;席瑞思;規格：18.14kg公斤x1x1pack包;席瑞思犬食-牛肉口味18.14kg;745;1;18140,0;12,0;8926;19.60%;1;14850124001,0;g;1;pack;599,0;745,0;19,59731543624161;weight;月;6,396929655216146;6,61472560020376;0,000987111932932;0,598536847111995;0,7097890003604564;0,2966924249311479;0
席瑞思犬食-雞肉口味18.14kg;休閒娛樂;599;席瑞思;規格：18.14kg公斤x1x1pack包;席瑞思犬食-雞肉口味18.14kg;745;1;18140,0;12,0;8927;19.60%;1;14850125001,0;g;1;pack;599,0;745,0;19,59731543624161;weight;月;6,396929655216146;6,61472560020376;0,000987111932932;0,598536847111995;0,7097890003604564;0,2966924249311479;0
寶多福健康犬餐熟齡犬專用配方袋15Kg;休閒娛樂;649;寶多福;規格：15kg公斤x1x1bag袋;寶多福健康犬餐熟齡犬專用配方袋15Kg;709;1;15000,0;12,0;8928;8.46%;0;14850126001,0;g;1;bag;649,0;709,0;8,46262341325811;weight;月;6,476972362889683;6,565264970035361;0,000987111932932;0,6069140774276135;0,7044816583229658;0,1281193982883697;0
博朗氏挑嘴犬狗糧 1.8公斤;休閒娛樂;186;;規格：1.8kg公斤x1x1bag袋;博朗氏挑嘴犬狗糧 1.8公斤;0;1;1800,0;18,0;8929;0.00%;0;14850133001,0;g;1;bag;186,0;0,0;0,0;weight;月;5,231108616854587;0,0;0,0014876193918834;0,4765225921097576;0,0;0,0;0
