title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;_query_key;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;is_new_product
易洗樂抗菌防洗衣精補充包;日用生活;175;VINATA 台酒生技;規格：1600ml毫升x1x1bag包;易洗樂抗菌防洗衣精補充包 易洗樂洗衣精補;0;1;1600,0;33,3;1786;0.00%;1;易洗樂抗菌防洗衣精補充包易洗樂洗衣精補;11103187001;ml;1;bag;175,0;0,0;0,0;volume;月;1
威猛先生地板瓶裝-芬多精;日用生活;119;威猛先生;規格：2000ml毫升x1x1bottle瓶;威猛先生地板瓶裝-芬多精;134;1;2000,0;33,3;741;11.19%;1;威猛先生地板瓶裝-芬多精;11010001001;ml;1;bottle;119,0;134,0;11,194029850746269;volume;月;0
清淨海環保地板清潔劑;日用生活;190;清淨海;規格：2000ml毫升x1x1bottle瓶;清淨海環保地板清潔劑;0;1;2000,0;33,3;744;0.00%;1;清淨海環保地板清潔劑;11010007001;ml;1;bottle;190,0;0,0;0,0;volume;月;0
威猛先生愛地潔地板清潔劑-檸檬;日用生活;199;威猛先生;規格：3785ml毫升x1x1bottle瓶;威猛先生愛地潔地板清潔劑;229;1;3785,0;33,3;745;13.10%;1;威猛先生愛地潔地板清潔劑;11010008002;ml;1;bottle;199,0;229,0;13,100436681222709;volume;月;0
威猛先生地板清潔劑完美花香;日用生活;119;威猛先生;規格：2000ml毫升x1x1bottle瓶;威猛先生地板清潔劑完美花香;157;1;2000,0;33,3;746;24.20%;1;威猛先生地板清潔劑完美花香;11010012001;ml;1;bottle;119,0;157,0;24,203821656050955;volume;月;0
地板魔術靈除菌EX草本香補充包;日用生活;89;魔術靈;規格：1800ml毫升x1x1pc包;魔術靈地板清潔劑;109;1;1800,0;36,0;748;18.35%;1;魔術靈地板清潔劑;11010013001;ml;1;pc;89,0;109,0;18,34862385321101;volume;月;0
威猛先生地板清潔劑-清新早晨;日用生活;199;威猛先生;規格：3785ml毫升x1x1bottle瓶;威猛先生地板清潔劑清新早晨;259;1;3785,0;33,3;753;23.17%;1;威猛先生地板清潔劑清新早晨;11010019001;ml;1;bottle;199,0;259,0;23,16602316602317;volume;月;0
威猛先生地板補充包完美花香;日用生活;82;威猛先生;規格：1800ml毫升x1x1pc包;威猛先生地板補充包完美花香;122;1;1800,0;33,3;754;32.79%;1;威猛先生地板補充包完美花香;11010020001;ml;1;pc;82,0;122,0;32,78688524590164;volume;月;0
地板魔術靈除菌EX草本香補充包;日用生活;89;魔術靈;規格：1800ml毫升x1x1pc包;魔術靈地板清潔劑補充包;109;1;1800,0;36,0;756;18.35%;1;魔術靈地板清潔劑補充包;11010021001;ml;1;pc;89,0;109,0;18,34862385321101;volume;月;0
威猛先生地板補充包-芬多精;日用生活;82;威猛先生;規格：1800ml毫升x1x1pack包;威猛先生地板補充包-芬多精;95;1;1800,0;33,3;757;13.68%;1;威猛先生地板補充包-芬多精;11010022001;ml;1;pack;82,0;95,0;13,684210526315791;volume;月;0
威猛先生地板補充包-檸檬;日用生活;82;威猛先生;規格：1800ml毫升x1x1pack包;威猛先生地板補充包-檸檬;95;1;1800,0;33,3;758;13.68%;1;威猛先生地板補充包-檸檬;11010023001;ml;1;pack;82,0;95,0;13,684210526315791;volume;月;0
威猛先生地板瓶裝-檸檬;日用生活;119;威猛先生;規格：2000ml毫升x1x1bottle瓶;威猛先生檸檬地板清潔  2000ML;134;1;2000,0;33,3;760;11.19%;1;威猛先生檸檬地板清潔2000ML;11010025001;ml;1;bottle;119,0;134,0;11,194029850746269;volume;月;0
魔術靈地板清潔劑-清新海洋2000ml;日用生活;119;魔術靈;規格：2000ml毫升x1x1bottle瓶;魔術靈地板清潔劑清新海洋;129;1;2000,0;33,3;762;7.75%;1;魔術靈地板清潔劑清新海洋;11010027001;ml;1;bottle;119,0;129,0;7,751937984496124;volume;月;0
妙管家地板清潔劑加侖桶;日用生活;185;妙管家;規格：1gal加侖x1x1bottle瓶;妙管家地板清潔劑加侖桶;189;1;3785,41;33,3;763;2.12%;0;妙管家地板清潔劑加侖桶;11010029001;ml;1;bottle;185,0;189,0;2,1164021164021163;volume;月;0
威猛先生地板清潔劑-完美花香;日用生活;199;威猛先生;規格：3785ml毫升x1x1bottle瓶;威猛先生地板清潔劑加侖花香;239;1;3785,0;33,3;774;16.74%;1;威猛先生地板清潔劑加侖花香;11010055001;ml;1;bottle;199,0;239,0;16,736401673640167;volume;月;0
威猛先生地板清潔劑補充包薰衣草;日用生活;82;威猛先生;規格：1800ml毫升x1x1pack包;威猛先生地板清潔劑補充包薰衣;139;1;1800,0;33,3;776;41.01%;1;威猛先生地板清潔劑補充包薰衣;11010057001;ml;1;pack;82,0;139,0;41,00719424460432;volume;月;0
威猛先生地板清潔劑薰衣草;日用生活;119;威猛先生;規格：2000ml毫升x1x1bottle瓶;威猛先生地板清潔劑薰衣草;157;1;2000,0;33,3;778;24.20%;1;威猛先生地板清潔劑薰衣草;11010059001;ml;1;bottle;119,0;157,0;24,203821656050955;volume;月;0
新-魔術靈玻璃清潔劑噴槍瓶;日用生活;69;魔術靈;規格：500ml毫升x1x1bottle瓶;新-魔術靈玻璃清潔劑噴槍瓶;72;1;500,0;33,3;786;4.17%;1;新-魔術靈玻璃清潔劑噴槍瓶;11020002001;ml;1;bottle;69,0;72,0;4,166666666666666;volume;月;0
新-魔術靈玻璃清潔劑經濟瓶500mlx2;日用生活;95;魔術靈;規格：500ml毫升x2x1set組;新-魔術靈玻璃清潔劑經濟瓶;99;1;500,0;33,3;787;4.04%;1;新-魔術靈玻璃清潔劑經濟瓶;11020003001;ml;2;set;47,5;49,5;4,040404040404041;volume;月;0
新-魔術靈玻璃清潔劑噴槍瓶;日用生活;69;魔術靈;規格：500ml毫升x1x1bottle瓶;家福玻璃清潔劑;72;1;500,0;33,3;792;4.17%;1;家福玻璃清潔劑;11020012001;ml;1;bottle;69,0;72,0;4,166666666666666;volume;月;0
【限量】白博士廚房清潔劑(贈白熊洗碗精300g);日用生活;128;白博士;規格：600ml毫升x1x2bottle瓶;白博士廚房清潔劑;138;1;600,0;24,0;797;7.25%;1;白博士廚房清潔劑;11021005002;ml;2;bottle;64,0;69,0;7,246376811594203;volume;月;0
魔術靈廚房清潔劑--桶裝;日用生活;199;魔術靈;規格：3800ml毫升x1x1bottle瓶;魔術靈廚房清潔劑--桶裝;235;1;3800,0;33,3;802;15.32%;1;魔術靈廚房清潔劑--桶裝;11021013001;ml;1;bottle;199,0;235,0;15,319148936170212;volume;月;0
橘子工坊廚房爐具專用清潔劑-480ml;日用生活;109;橘子工坊;規格：480ml毫升x1x1bottle瓶;橘子工坊廚房爐具專用清潔劑;135;1;480,0;36,0;805;19.26%;1;橘子工坊廚房爐具專用清潔劑;11021017001;ml;1;bottle;109,0;135,0;19,25925925925926;volume;月;0
新-廚房魔術靈噴槍;日用生活;69;魔術靈;規格：500ml毫升x1x1bottle瓶;新-廚房魔術靈噴槍;72;1;500,0;33,3;806;4.17%;1;新-廚房魔術靈噴槍;11021018001;ml;1;bottle;69,0;72,0;4,166666666666666;volume;月;0
清檜抗菌驅離萬用清潔劑;日用生活;198;清檜;規格：600ml毫升x1x1bottle瓶;清檜-抗菌驅蟲萬用清潔劑600ml;0;1;600,0;36,0;810;0.00%;1;清檜-抗菌驅蟲萬用清潔劑600ml;11021025001;ml;1;bottle;198,0;0,0;0,0;volume;月;0
魔術靈廚房清潔劑經濟瓶-萊姆香500mlx2;日用生活;95;魔術靈;規格：500ml毫升x2x1set組;新-廚房魔術靈經濟瓶2入裝;99;1;500,0;33,3;815;4.04%;1;新-廚房魔術靈經濟瓶2入裝;11021029001;ml;2;set;47,5;49,5;4,040404040404041;volume;月;0
魔術靈廚房清潔劑-青蘋香500ml;日用生活;69;魔術靈;規格：500ml毫升x1x1bottle瓶;新-廚房魔術靈青蘋不刺鼻噴槍;72;1;500,0;33,3;816;4.17%;0;新-廚房魔術靈青蘋不刺鼻噴槍;11021030001;ml;1;bottle;69,0;72,0;4,166666666666666;volume;月;0
高樂氏萬用強力去汙清潔劑-清新香946ml;日用生活;148;clorox 高樂氏;規格：946ml毫升x1x1bottle瓶;高樂氏萬用清潔噴劑;159;1;946,0;36,0;829;6.92%;1;高樂氏萬用清潔噴劑;11021052001;ml;1;bottle;148,0;159,0;6,918238993710692;volume;月;0
家樂福馬賽皂廚房清潔劑-噴槍;日用生活;139;家樂福自有品牌;規格：750ml毫升x1x1box箱;家福馬賽皂廚房清潔劑-噴槍;0;1;750,0;48,0;834;0.00%;0;家福馬賽皂廚房清潔劑-噴槍;11021060001;ml;1;box;139,0;0,0;0,0;volume;月;0
家樂福全效多功能黑肥皂家用清潔劑;日用生活;109;家樂福;規格：1.25l公升x1x1box箱;家福全效多功能黑肥皂家用清潔劑 家福全效多功能;0;1;1250,0;60,0;835;0.00%;1;家福全效多功能黑肥皂家用清潔劑家福全效多功能;11021061001;ml;1;box;109,0;0,0;0,0;volume;月;0
魔術靈 浴室清潔劑-舒適檸檬(噴槍瓶)500ml;日用生活;69;魔術靈;規格：500ml毫升x1x1bottle瓶;魔術靈浴室噴槍-舒適檸檬;72;1;500,0;33,3;850;4.17%;1;魔術靈浴室噴槍-舒適檸檬;11022001001;ml;1;bottle;69,0;72,0;4,166666666666666;volume;月;0
橘子工坊天然制菌浴廁清潔劑;日用生活;109;橘子工坊;規格：480ml毫升x1x1bottle瓶;橘子工坊天然制菌浴廁清潔劑;134;1;480,0;36,0;851;18.66%;1;橘子工坊天然制菌浴廁清潔劑;11022002001;ml;1;bottle;109,0;134,0;18,65671641791045;volume;月;0
魔術靈浴室清潔劑噴槍-優雅玫瑰500ml;日用生活;69;魔術靈;規格：500ml毫升x1x1bottle瓶;魔術靈浴室清潔劑噴槍;72;1;500,0;33,3;853;4.17%;1;魔術靈浴室清潔劑噴槍;11022003001;ml;1;bottle;69,0;72,0;4,166666666666666;volume;月;0
浴室魔術靈除霉漂潔噴槍500ml;日用生活;99;魔術靈;規格：500ml毫升x1x1bottle瓶;浴廁魔術靈除霉漂潔- 噴槍瓶;109;1;500,0;24,0;854;9.17%;1;浴廁魔術靈除霉漂潔-噴槍瓶;11022006001;ml;1;bottle;99,0;109,0;9,174311926605505;volume;月;0
魔術靈浴室清潔劑經濟瓶-舒適檸檬香500mlx2;日用生活;95;魔術靈;規格：500ml毫升x2x1set組;魔術靈浴室經濟瓶舒適檸檬2入;99;1;500,0;33,3;855;4.04%;1;魔術靈浴室經濟瓶舒適檸檬2入;11022007001;ml;2;set;47,5;49,5;4,040404040404041;volume;月;0
魔術靈浴室清潔劑(桶裝)舒適檸檬3800ml;日用生活;199;魔術靈;規格：3800ml毫升x1x1bottle瓶;家福強效浴室清潔劑;216;1;3800,0;33,3;862;7.87%;1;家福強效浴室清潔劑;11022017001;ml;1;bottle;199,0;216,0;7,87037037037037;volume;月;0
魔術靈廚房萊姆 噴槍瓶+經濟瓶;日用生活;88;魔術靈;規格：500ml毫升x2x1set組;浴室魔術靈噴槍500ml+經濟瓶;99;1;500,0;36,0;863;11.11%;0;浴室魔術靈噴槍500ml+經濟瓶;11022018001;ml;2;set;44,0;49,5;11,11111111111111;volume;月;0
魔術靈浴室清潔劑經濟瓶-舒適檸檬香500mlx2;日用生活;95;魔術靈;規格：500ml毫升x2x1set組;魔術靈浴室清潔劑經濟瓶;99;1;500,0;33,3;867;4.04%;1;魔術靈浴室清潔劑經濟瓶;11022024001;ml;2;set;47,5;49,5;4,040404040404041;volume;月;0
浴室魔術靈除霉漂潔噴槍500ml;日用生活;99;魔術靈;規格：500ml毫升x1x1bottle瓶;浴室魔術靈除霉漂潔噴槍500ml;109;1;500,0;24,0;868;9.17%;1;浴室魔術靈除霉漂潔噴槍500ml;11022025001;ml;1;bottle;99,0;109,0;9,174311926605505;volume;月;0
高樂氏強效除霉噴劑;日用生活;148;clorox 高樂氏;規格：946ml毫升x1x1bottle瓶;高樂氏強效除霉清潔噴劑;179;1;946,0;36,0;887;17.32%;0;高樂氏強效除霉清潔噴劑;11022082001;ml;1;bottle;148,0;179,0;17,318435754189945;volume;月;0
優品輕鬆打傢俱噴腊-檜木450ml;日用生活;85;優品;規格：450ml毫升x1x1bottle瓶;優品輕鬆打傢俱噴腊 輕鬆打傢俱;0;1;450,0;33,3;892;0.00%;1;優品輕鬆打傢俱噴腊輕鬆打傢俱;11023001001;ml;1;bottle;85,0;0,0;0,0;volume;月;0
【安心價】碧麗珠-檸檬;日用生活;99;莊臣;規格：330ml毫升x1x1bottle瓶;碧麗珠-檸檬;119;1;330,0;33,3;893;16.81%;0;碧麗珠-檸檬;11023010001;ml;1;bottle;99,0;119,0;16,80672268907563;volume;月;0
優品輕鬆打傢俱噴腊-檜木450ml;日用生活;85;優品;規格：450ml毫升x1x1bottle瓶;優品輕鬆打傢俱噴腊-檜木450ml 傢俱臘-檜木;0;1;450,0;33,3;894;0.00%;1;優品輕鬆打傢俱噴腊-檜木450ml傢俱臘-檜木;11023012001;ml;1;bottle;85,0;0,0;0,0;volume;月;0
碧麗珠-百花清香;日用生活;99;莊臣;規格：330ml毫升x1x1bottle瓶;碧麗珠-百花清香;119;1;330,0;36,0;895;16.81%;1;碧麗珠-百花清香;11023015001;ml;1;bottle;99,0;119,0;16,80672268907563;volume;月;0
Farcent香水擴香補小蒼蘭英國梨;日用生活;119;Farcent 香水;規格：100ml毫升x1x1box盒;Farcent香水擴香補小蒼蘭英國梨;0;1;100,0;36,0;912;0.00%;1;Farcent香水擴香補小蒼蘭英國梨;11030018001;ml;1;box;119,0;0,0;0,0;volume;月;0
去味大師備長炭消臭易;日用生活;75;去味大師;規格：350ml毫升x1x1bottle瓶;去味大師備長炭消臭易;0;1;350,0;33,3;935;0.00%;1;去味大師備長炭消臭易;11030066001;ml;1;bottle;75,0;0,0;0,0;volume;月;0
妙管家EQ芳香消臭液-自然芳香400ml;日用生活;55;妙管家;規格：400ml毫升x1x1bottle瓶;妙管家EQ芳香消臭液;95;1;400,0;33,3;939;42.11%;1;妙管家EQ芳香消臭液;11030079001;ml;1;bottle;55,0;95,0;42,10526315789473;volume;月;0
