title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;_query_key;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;is_new_product
得意的一天五珍寶健康油3.5L;米油沖泡;368;得意的一天;規格：3.5l公升x1x1bottle瓶;得意的一天五珍寶健康油3.5L;375;1;3500,0;24,0;8225;1.87%;1;得意的一天五珍寶健康油3.5L;14615038001;ml;1;bottle;368,0;375,0;1,866666666666667;volume;月;0
統一綺麗健康油 652ml;米油沖泡;181;統一;規格：652ml毫升x1x1bottle瓶;統一綺麗健康油 652ml;199;1;652,0;18,0;8226;9.05%;1;統一綺麗健康油652ml;14615041001;ml;1;bottle;181,0;199,0;9,045226130653267;volume;月;0
源順初榨花生風味調合油 3010ml;米油沖泡;328;;規格：3010ml毫升x1x1bottle瓶;源順初榨花生風味調合油;354;1;3010,0;24,0;8230;7.34%;1;源順初榨花生風味調合油;14615048001;ml;1;bottle;328,0;354,0;7,344632768361582;volume;月;0
【全素】源順百分百香油220ml;米油沖泡;109;;規格：220ml毫升x1x1bottle瓶;源順百分百香油220ml;116;1;220,0;24,0;8232;6.03%;1;源順百分百香油220ml;14615052001;ml;1;bottle;109,0;116,0;6,0344827586206895;volume;月;0
源順嚴選低溫胡麻油;米油沖泡;278;源順;規格：570ml毫升x1x1bottle瓶;源順嚴選低溫胡麻油 570ml/;285;1;570,0;24,0;8234;2.46%;1;源順嚴選低溫胡麻油570ml/;14615057001;ml;1;bottle;278,0;285,0;2,456140350877193;volume;月;0
泰山不飽和健康調合油5L;米油沖泡;399;泰山;規格：5l公升x1x1bottle瓶;泰山不飽和健康調合油5L;459;1;5000,0;18,0;8236;13.07%;1;泰山不飽和健康調合油5L;14615061001;ml;1;bottle;399,0;459,0;13,071895424836605;volume;月;0
楓緣冷壓初榨椰子油500ml;米油沖泡;289;;規格：500ml毫升x1x1bottle瓶;楓緣冷壓初榨椰子油500ml;309;1;500,0;18,0;8237;6.47%;0;楓緣冷壓初榨椰子油500ml;14615063001;ml;1;bottle;289,0;309,0;6,472491909385113;volume;月;0
松鼎黑麻油500ml;米油沖泡;144;;規格：500ml毫升x1x1bottle瓶;松鼎黑麻油500ml;0;1;500,0;24,0;8238;0.00%;1;松鼎黑麻油500ml;14615067001;ml;1;bottle;144,0;0,0;0,0;volume;月;0
得意的一天五珍寶健康油2L;米油沖泡;215;得意的一天;規格：2l公升x1x1bottle瓶;得意的一天五珍寶健康油2L;232;1;2000,0;24,0;8239;7.33%;1;得意的一天五珍寶健康油2L;14615070001;ml;1;bottle;215,0;232,0;7,327586206896551;volume;月;0
小磨坊金黃蒜油260ml;米油沖泡;119;小磨坊;規格：260ml毫升x1x1bottle瓶;小磨坊蒜風味油260ml;150;1;260,0;24,0;8240;20.67%;1;小磨坊蒜風味油260ml;14615072001;ml;1;bottle;119,0;150,0;20,666666666666668;volume;月;0
義美100％芥花油2L;米油沖泡;232;義美;規格：2000ml毫升x1x1bottle瓶;義美100％純芥花油2L;233;1;2000,0;18,0;8242;0.43%;0;義美100%純芥花油2L;14615079001;ml;1;bottle;232,0;233,0;0,4291845493562232;volume;月;0
MC TRADER 100％冷壓酪梨油1L;米油沖泡;499;MC TRADER;規格：1000ml毫升x1x1bottle瓶;MC TRADER 100％冷壓酪梨油1L;0;1;1000,0;24,0;8244;0.00%;1;MCTRADER100%冷壓酪梨油1L;14615082001;ml;1;bottle;499,0;0,0;0,0;volume;月;0
真好家芝麻香油-130ml;米油沖泡;78;真好家;規格：130ml毫升x1x1bottle瓶;真好家芝麻香油130ml;92;1;130,0;18,0;8245;15.22%;1;真好家芝麻香油130ml;14615083001;ml;1;bottle;78,0;92,0;15,217391304347828;volume;月;0
得意的一天五珍寶健康調合油2.4L;米油沖泡;240;得意的一天;規格：2.4l公升x1x1bottle瓶;得意的一天五珍寶健康調和2.4L;270;1;2400,0;24,0;8246;11.11%;1;得意的一天五珍寶健康調和2.4L;14615084001;ml;1;bottle;240,0;270,0;11,11111111111111;volume;月;0
【全素】義美100％純黑麻油;米油沖泡;275;義美;規格：500ml毫升x1x1can罐;義美100％純黑麻油;284;1;500,0;24,0;8248;3.17%;0;義美100%純黑麻油;14615107001;ml;1;can;275,0;284,0;3,169014084507042;volume;月;0
義美100％純芝麻香油;米油沖泡;132;義美;規格：250ml毫升x1x1can罐;義美100％純芝麻香油;0;1;250,0;24,0;8249;0.00%;1;義美100%純芝麻香油;14615108001;ml;1;can;132,0;0,0;0,0;volume;月;0
泰山玄米油600ml;米油沖泡;99;泰山;規格：600ml毫升x1x1box箱;泰山玄米油600ml;118;1;600,0;18,0;8250;16.10%;1;泰山玄米油600ml;14615114001;ml;1;box;99,0;118,0;16,101694915254235;volume;月;0
福壽頂級香油543ml;米油沖泡;104;福壽;規格：543ml毫升x1x1bottle瓶;福壽頂級香油543ml;112;1;543,0;24,0;8251;7.14%;1;福壽頂級香油543ml;14615129001;ml;1;bottle;104,0;112,0;7,142857142857142;volume;月;0
泰山玄米油1.5L;米油沖泡;224;泰山;規格：1.5l公升x1x1bottle瓶;泰山玄米油1.5L;242;1;1500,0;18,0;8252;7.44%;1;泰山玄米油1.5L;14615133001;ml;1;bottle;224,0;242,0;7,43801652892562;volume;月;0
