title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;_query_key;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;is_new_product
舒適牌捍將3刮鬍刀片;美妝個清;299;舒適;規格：4pc片x1x1box盒;舒適牌捍將3刮鬍刀片 舒適捍將3刀片;309;1;4,0;33,3;4362;3.24%;0;舒適牌捍將3刮鬍刀片舒適捍將3刀片;12111003001;pc;1;box;299,0;309,0;3,2362459546925564;count;月;1
家樂福攜帶型牙間刷SSSS;美妝個清;89;家樂福;規格：12pc支x1x1set組;家樂福梅子醋;0;1;12,0;120,0;707;0.00%;0;家樂福梅子醋;10052023001;pc;1;set;89,0;0,0;0,0;count;月;0
家樂福攜帶型牙間刷SSSS;美妝個清;89;家樂福;規格：12pc支x1x1set組;家樂福蘋果醋;0;1;12,0;120,0;708;0.00%;0;家樂福蘋果醋;10052024001;pc;1;set;89,0;0,0;0,0;count;月;0
Caravan基礎系雙齒距梳-大;美妝個清;55;Caravan;規格：1pc件x1x1pc件;Caravan基礎系雙齒距梳-大 雙齒距梳-大;0;1;1,0;84,0;2715;0.00%;0;Caravan基礎系雙齒距梳-大雙齒距梳-大;12006048001;pc;1;pc;55,0;0,0;0,0;count;月;0
Caravan梳理按摩氣墊梳-大;美妝個清;149;;規格：1pc件x1x1pc件;Caravan梳理按摩氣墊梳-大 按摩氣墊梳-大;0;1;1,0;84,0;2717;0.00%;0;Caravan梳理按摩氣墊梳-大按摩氣墊梳-大;12006062001;pc;1;pc;149,0;0,0;0,0;count;月;0
Caravan黑檀吹整養護豬鬃捲梳;美妝個清;169;;規格：1pc件x1x1pc件;Caravan黑檀吹整養護豬鬃捲梳;0;1;1,0;84,0;2720;0.00%;0;Caravan黑檀吹整養護豬鬃捲梳;12006114001;pc;1;pc;169,0;0,0;0,0;count;月;0
Caravan吹整塑型排梳-6排;美妝個清;99;;規格：1pc件x1x1pc件;Caravan吹整塑型排梳-6排 塑型排梳-6排;0;1;1,0;84,0;2722;0.00%;0;Caravan吹整塑型排梳-6排塑型排梳-6排;12006136001;pc;1;pc;99,0;0,0;0,0;count;月;0
Caravan原木吹整養護混毛捲梳;美妝個清;149;;規格：1pc件x1x1pc件;Caravan原木吹整養護混毛捲梳 原木混毛捲梳;0;1;1,0;84,0;2723;0.00%;0;Caravan原木吹整養護混毛捲梳原木混毛捲梳;12006143001;pc;1;pc;149,0;0,0;0,0;count;月;0
Caravan直順抗靜電梳-小;美妝個清;105;;規格：1pc件x1x1pc件;Caravan直順抗靜電梳-小 抗靜電梳-小;0;1;1,0;84,0;2726;0.00%;0;Caravan直順抗靜電梳-小抗靜電梳-小;12006155001;pc;1;pc;105,0;0,0;0,0;count;月;0
Caravan 吹整圓捲梳-大;美妝個清;105;;規格：1pc件x1x1pc件;Caravan 吹整圓捲梳-大 圓捲梳-大;0;1;1,0;84,0;2728;0.00%;0;Caravan吹整圓捲梳-大圓捲梳-大;12006174001;pc;1;pc;105,0;0,0;0,0;count;月;0
Caravan吹整塑型彈力圓針梳;美妝個清;109;;規格：1pc件x1x1pc件;Caravan吹整塑型彈力圓針梳 彈力圓針梳;0;1;1,0;84,0;2729;0.00%;1;Caravan吹整塑型彈力圓針梳彈力圓針梳;12006179001;pc;1;pc;109,0;0,0;0,0;count;月;0
【ThursdayPlantation星期四農莊】 茶樹純淨皂 125g (3入/盒);美妝個清;285;ThursdayPlantation星期四農莊;規格：3入*125g;澳洲星期四農莊茶樹純淨皂;350;1;3,0;60,0;2734;18.57%;0;澳洲星期四農莊茶樹純淨皂;12010006001;pcs;1;;285,0;350,0;18,571428571428573;count;月;0
大春煉皂-經典植萃皂;美妝個清;250;大春煉皂;規格：1件;家福蘆薈香氛精油皂;0;1;1,0;60,0;2799;0.00%;1;家福蘆薈香氛精油皂;12010107001;pcs;1;;250,0;0,0;0,0;count;月;0
【SABON】玫瑰茶語沐浴油 500ml;美妝個清;750;SABON;規格：1pcs;家福香草沐浴露 500ML 家福香草沐浴露;1280;1;1,0;36,0;2959;41.41%;0;家福香草沐浴露500ML家福香草沐浴露;12011134001;pcs;1;;750,0;1280,0;41,40625;count;月;0
VGT簡約系列沐浴球-白;美妝個清;89;VGT;規格：1pc個x1x1pc個;VGT簡約系列沐浴球-白 沐浴球-白;99;1;1,0;120,0;3257;10.10%;1;VGT簡約系列沐浴球-白沐浴球-白;12014016001;pc;1;pc;89,0;99,0;10,1010101010101;count;月;0
VGT喚醒系列沐浴巾-白;美妝個清;89;VGT;規格：1pc個x1x1pc個;VGT喚醒系列沐浴巾-白 沐浴巾-白;99;1;1,0;120,0;3262;10.10%;1;VGT喚醒系列沐浴巾-白沐浴巾-白;12014032001;pc;1;pc;89,0;99,0;10,1010101010101;count;月;0
VGT喚醒系列沐浴巾-黑藍;美妝個清;89;VGT;規格：1pc個x1x1pc個;VGT喚醒系列沐浴巾-黑藍 沐浴巾-黑藍;99;1;1,0;120,0;3263;10.10%;1;VGT喚醒系列沐浴巾-黑藍沐浴巾-黑藍;12014035001;pc;1;pc;89,0;99,0;10,1010101010101;count;月;0
GATSBY體用抗菌濕巾大包裝;美妝個清;189;GATSBY;規格：30pc張x1x1pc包;GATSBY體用抗菌濕巾大包裝;0;1;30,0;33,3;3275;0.00%;0;GATSBY體用抗菌濕巾大包裝;12016022001;pc;1;pc;189,0;0,0;0,0;count;月;0
肌研光透潤極致水潤面膜;美妝個清;399;肌研;規格：6pc片x1x1box盒;肌研光透潤極致水潤面膜 水潤面膜;0;1;6,0;48,0;3667;0.00%;0;肌研光透潤極致水潤面膜水潤面膜;12023001001;pc;1;box;399,0;0,0;0,0;count;月;0
OLAY多元修護日霜2入優惠組;美妝個清;879;OLAY;規格：1set組x1x1set組;Olay多元修護日霜 Olay多元修護日;0;1;1,0;36,0;3668;0.00%;0;Olay多元修護日霜Olay多元修護日;12023006001;set;1;set;879,0;0,0;0,0;count;月;0
我的美麗日記蜜若藍補水面膜;美妝個清;199;我的美麗日記;規格：5pc片x1x1pc盒;我的美麗日記蜜若藍補水面膜 蜜若藍補水面膜;0;1;5,0;36,0;3671;0.00%;0;我的美麗日記蜜若藍補水面膜蜜若藍補水面膜;12023012001;pc;1;pc;199,0;0,0;0,0;count;月;0
我的心機玻尿酸保濕鎖水黑面膜;美妝個清;298;我的心機;規格：8pc片x1x1box盒;我的心機玻尿酸保濕鎖水黑面膜;0;1;8,0;36,0;3695;0.00%;1;我的心機玻尿酸保濕鎖水黑面膜;12023097001;pc;1;box;298,0;0,0;0,0;count;月;0
我的心機黑珍珠絲光潤白黑面;美妝個清;298;我的心機;規格：8pc片x1x1box盒;我的心機黑珍珠絲光潤白黑面;0;1;8,0;33,3;3702;0.00%;1;我的心機黑珍珠絲光潤白黑面;12023116001;pc;1;box;298,0;0,0;0,0;count;月;0
我的心機蝸牛保水修護黑面膜;美妝個清;298;;規格：8pc片x1x1box盒;我的心機蝸牛保水修護黑面膜;0;1;8,0;33,3;3705;0.00%;0;我的心機蝸牛保水修護黑面膜;12023126001;pc;1;box;298,0;0,0;0,0;count;月;0
我的心機毛孔細緻黑面膜;美妝個清;298;我的心機;規格：8pc片x1x1box盒;我的心機毛孔細緻黑面膜 淨化調理;0;1;8,0;36,0;3706;0.00%;1;我的心機毛孔細緻黑面膜淨化調理;12023128001;pc;1;box;298,0;0,0;0,0;count;月;0
我的心機七合一晶緻煥白黑面膜;美妝個清;298;我的心機;規格：8pc片x1x1box盒;我的心機七合一晶緻煥白黑面膜;0;1;8,0;36,0;3715;0.00%;0;我的心機七合一晶緻煥白黑面膜;12023162001;pc;1;box;298,0;0,0;0,0;count;月;0
肌研光透潤瞬效補水面膜;美妝個清;399;肌研;規格：6pc片x1x1pc盒;肌研光透潤瞬效補水面膜 瞬效補水面膜;0;1;6,0;48,0;3746;0.00%;0;肌研光透潤瞬效補水面膜瞬效補水面膜;12023320001;pc;1;pc;399,0;0,0;0,0;count;月;0
肌研光透潤亮澤緊緻面膜;美妝個清;399;肌研;規格：6pc片x1x1pc盒;肌研光透潤亮澤緊緻面膜;0;1;6,0;48,0;3747;0.00%;0;肌研光透潤亮澤緊緻面膜;12023321001;pc;1;pc;399,0;0,0;0,0;count;月;0
美麗日記玻尿酸保濕面膜8入;美妝個清;199;統一;規格：8pc片x1x1box盒;美麗日記玻尿酸保濕面膜8入 玻尿酸極效保濕;0;1;8,0;36,0;3748;0.00%;0;美麗日記玻尿酸保濕面膜8入玻尿酸極效保濕;12023322001;pc;1;box;199,0;0,0;0,0;count;月;0
肌研光透潤深層美白面膜;美妝個清;399;肌研;規格：6pc片x1x1pc盒;肌研光透潤深層美白面膜 深層美白面膜;0;1;6,0;36,0;3750;0.00%;0;肌研光透潤深層美白面膜深層美白面膜;12023325001;pc;1;pc;399,0;0,0;0,0;count;月;0
美麗日記蘆薈舒緩面膜8入;美妝個清;199;統一;規格：8pc片x1x1box盒;美麗日記蘆薈舒緩面膜8入;0;1;8,0;36,0;3757;0.00%;1;美麗日記蘆薈舒緩面膜8入;12023401001;pc;1;box;199,0;0,0;0,0;count;月;0
雪時間面膜-毛孔太招搖5片;美妝個清;99;;規格：5pc片x1x1box盒;雪時間面膜-毛孔太招搖5片;107;1;5,0;36,0;3762;7.48%;0;雪時間面膜-毛孔太招搖5片;12023510001;pc;1;box;99,0;107,0;7,476635514018691;count;月;0
蘭韻棉質化棉;美妝個清;68;蘭韻;規格：100pc片x1x2box盒;家福純棉化妝棉;72;1;100,0;33,3;3843;5.56%;1;家福純棉化妝棉;12034001001;pc;2;box;34,0;36,0;5,555555555555555;count;月;0
蘭韻化妝棉*限量包裝,恕不指定(以實際出貨為主);美妝個清;99;蘭韻;規格：180pc片x1x3box盒;家福紙纖化妝棉;118;1;180,0;33,3;3847;16.10%;0;家福紙纖化妝棉;12034024001;pc;3;box;33,0;39,333333333333336;16,101694915254242;count;月;0
森田藥保濕深層卸妝棉;美妝個清;148;森田藥粧;規格：48pc片x1x1pc包;森田藥保濕深層卸妝棉;0;1;48,0;33,3;3848;0.00%;0;森田藥保濕深層卸妝棉;12034025001;pc;1;pc;148,0;0,0;0,0;count;月;0
MENS Biore男性專用妙鼻貼(黑);美妝個清;79;MEN's Bioré;規格：10pc片x1x1box盒;MENS Biore男性專用妙鼻貼(黑);0;1;10,0;36,0;3852;0.00%;0;MENSBiore男性專用妙鼻貼(黑);12034038001;pc;1;box;79,0;0,0;0,0;count;月;0
蘭韻淨角質化妝棉80片;美妝個清;75;蘭韻;規格：80pc片x1x1box盒;蘭韻淨角質化妝棉80片;0;1;80,0;60,0;3854;0.00%;0;蘭韻淨角質化妝棉80片;12034051001;pc;1;box;75,0;0,0;0,0;count;月;0
蘭韻可撕式化妝棉80片-一般;美妝個清;75;蘭韻;規格：80pc片x1x1box盒;蘭韻可撕式化妝棉80片-一般 蘭韻可撕化妝棉;0;1;80,0;60,0;3855;0.00%;1;蘭韻可撕式化妝棉80片-一般蘭韻可撕化妝棉;12034053001;pc;1;box;75,0;0,0;0,0;count;月;0
碧菲絲特水嫩即淨卸妝棉;美妝個清;189;Bifesta;規格：46pc張x1x1pc包;碧菲絲特水嫩即淨卸妝棉 水嫩卸妝棉;204;1;46,0;33,3;3856;7.35%;1;碧菲絲特水嫩即淨卸妝棉水嫩卸妝棉;12034054001;pc;1;pc;189,0;204,0;7,352941176470589;count;月;0
碧菲絲特毛孔即淨卸妝棉;美妝個清;189;Bifesta;規格：46pc張x1x1pc包;碧菲絲特毛孔即淨卸妝棉 毛孔卸妝棉;204;1;46,0;36,0;3858;7.35%;1;碧菲絲特毛孔即淨卸妝棉毛孔卸妝棉;12034058001;pc;1;pc;189,0;204,0;7,352941176470589;count;月;0
Biore深層卸妝棉補充包;美妝個清;79;Biore;規格：46pc片x1x1pack包;Biore深層卸棉 補充包;117;1;46,0;36,0;3863;32.48%;1;Biore深層卸棉補充包;12034071001;pc;1;pack;79,0;117,0;32,47863247863248;count;月;0
