title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;is_new_product
立頓花草茶-靜寧茶27.3g;米油沖泡;159;立頓;規格：27.3g克x1x1bag包;立頓花草茶-清衡茶;179;1;27,3;18,0;6779;11.17%;1;14304302001;g;1;bag;159,0;179,0;11,1731843575419;weight;月;5,075173815233827;5,19295685089021;0,0014876193918834;0,4602025326644262;0,5572269924537467;0,1691557791181642;1
立頓茗閒情100％台灣茶-蜜香紅茶50.4g;米油沖泡;149;立頓;規格：50.4g克x1x1bag包;立頓茗閒情100台灣茶-蜜香紅茶50.4g;179;1;50,4;24,0;6692;16.76%;1;14300003001;g;1;bag;149,0;179,0;16,75977653631285;weight;月;5,010635294096256;5,19295685089021;0,0019881268508348;0,4534479628664632;0,5572269924537467;0,2537336686772463;0
立頓黃牌精選紅茶 2g X100;米油沖泡;145;立頓;規格：2g克x100x1box盒;立頓紅茶包;155;1;2,0;24,0;6693;6.45%;0;14300008001;g;100;box;1,45;1,55;6,451612903225811;weight;月;0,8960880245566356;0,9360933591703348;0,0019881268508348;0,0228214745420443;0,1004469134183142;0,0976738208456497;0
TWININGS唐寧 英倫早餐茶 2g x 25入;米油沖泡;238;唐寧;規格：2g克x25x1box盒;唐寧英倫早餐茶;0;1;2,0;33,3;6694;0.00%;0;14300016001;g;25;box;9,52;0,0;0,0;weight;月;2,353278207309564;0,0;0,0027639134122096;0,1753302805205751;0,0;0,0;0
天仁阿薩姆紅茶防潮包;米油沖泡;159;天仁;規格：2g克x100x1box盒;天仁阿薩姆紅茶防潮包;169;1;2,0;24,0;6697;5.92%;0;14300025001;g;100;box;1,59;1,69;5,9171597633136015;weight;月;0,9516578757114464;0,9895411936137476;0,0019881268508348;0,0286373877621115;0,106182099920964;0,0895824984087318;0
唐寧茶皇家伯爵茶【Mia C'bon 限定】;米油沖泡;275;唐寧;規格：2g克x25x1box盒;唐寧皇家伯爵低咖啡因茶;0;1;2,0;33,3;6698;0.00%;1;14300029001;g;25;box;11,0;0,0;0,0;weight;月;2,4849066497880004;0,0;0,0027639134122096;0,1891064484036687;0,0;0,0;0
台灣茶人日月潭紅玉紅茶40g;米油沖泡;169;台灣茶人;規格：40g克x1x1can罐;台灣農林原片紅玉紅茶;239;1;40,0;36,0;6700;29.29%;0;14300046001;g;1;can;169,0;239,0;29,288702928870293;weight;月;5,135798437050262;5,480638923341991;0,0029891417687377;0,4665474756894042;0,5880965376123372;0,4434146260147693;0
帝瑪錫蘭紅茶-2gx50;米油沖泡;155;帝瑪;規格：2g克x50x1box盒;帝瑪錫蘭紅茶;0;1;2,0;36,0;6701;0.00%;1;14300057001;g;50;box;3,1;0,0;0,0;weight;月;1,410986973710262;0,0;0,0029891417687377;0,0767105446609955;0,0;0,0;0
天仁咖啡香紅茶-古早味紅茶-45g*6;米油沖泡;79;天仁;規格：45g克x6x1pack包;天仁咖啡香紅茶-古早味紅茶;89;1;45,0;24,0;6702;11.24%;1;14300070001;g;6;pack;13,166666666666666;14,833333333333334;11,235955056179783;weight;月;2,6508917872622613;2,762117422372486;0,0019881268508348;0,2064783710435523;0,2963872853688103;0,1701060924839967;0
T世家精選錫蘭紅茶包-2g*100;米油沖泡;97;;規格：2g克x100x1box盒;T世家精選錫蘭紅茶包;109;1;2,0;36,0;6703;11.01%;1;14300096001;g;100;box;0,97;1,09;11,009174311926614;weight;月;0,6780335427498971;0,7371640659767197;0,0029891417687377;0,0;0,0791009298216615;0,1666727585072555;0
