title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;_query_key;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;is_new_product
囍瑞100純天然蘋果原汁1L;飲料零食;89;囍瑞;規格：1000ml毫升x1x1bottle瓶;囍瑞100覆盆莓綜合原汁1L;99;1;1000,0;12,0;155;10.10%;1;囍瑞100覆盆莓綜合原汁1L;10014043001;ml;1;bottle;89,0;99,0;10,1010101010101;volume;月;1
可口可樂纖維+600ml;飲料零食;120;CocaCola 可口可樂;規格：600ml毫升x1x4bottle瓶;可口可樂Zero 600ml;0;1;600,0;9,0;2;0.00%;1;可口可樂Zero600ml;10000001001;ml;4;bottle;30,0;0,0;0,0;volume;月;0
可口可樂2L;飲料零食;230;CocaCola 可口可樂;規格：2000ml毫升x1x6bottle瓶;可口可樂2L;296;1;2000,0;9,0;3;22.30%;1;可口可樂2L;10000002001;ml;6;bottle;38,333333333333336;49,333333333333336;22,2972972972973;volume;月;0
百事可樂330ml;飲料零食;77;百事可樂;規格：330ml毫升x1x6bottle瓶;百事可樂330ml;90;1;330,0;12,0;4;14.44%;1;百事可樂330ml;10000003001;ml;6;bottle;12,833333333333334;15,0;14,44444444444444;volume;月;0
百事可樂2L;飲料零食;36;百事可樂;規格：2000ml毫升x1x1bottle瓶;百事可樂2L;52;1;2000,0;12,0;5;30.77%;1;百事可樂2L;10000004001;ml;1;bottle;36,0;52,0;30,76923076923077;volume;月;0
可口可樂330ml;飲料零食;83;CocaCola 可口可樂;規格：330ml毫升x1x6bottle瓶;可口可樂330ml;95;1;330,0;12,0;6;12.63%;1;可口可樂330ml;10000005001;ml;6;bottle;13,833333333333334;15,833333333333334;12,63157894736842;volume;月;0
可口可樂 Zero 330ml;飲料零食;83;CocaCola 可口可樂;規格：330ml毫升x1x6bottle瓶;可口可樂 Zero 330ml;94;1;330,0;9,0;8;11.70%;0;可口可樂Zero330ml;10000007001;ml;6;bottle;13,833333333333334;15,666666666666666;11,702127659574462;volume;月;0
可口可樂 1250ml;飲料零食;31;CocaCola 可口可樂;規格：1250ml毫升x1x1bottle瓶;可口可樂纖維+ 1250ml;0;1;1250,0;9,0;9;0.00%;1;可口可樂纖維+1250ml;10000008001;ml;1;bottle;31,0;0,0;0,0;volume;月;0
可口可樂ZERO無糖零卡2L;飲料零食;230;CocaCola 可口可樂;規格：2000ml毫升x1x6bottle瓶;可口可樂 Zero 2L;296;1;2000,0;9,0;10;22.30%;1;可口可樂Zero2L;10000010001;ml;6;bottle;38,333333333333336;49,333333333333336;22,2972972972973;volume;月;0
可口可樂 Can 250 ml;飲料零食;239;CocaCola 可口可樂;規格：250ml毫升x1x24bottle瓶;可口可樂 Can 250 ml;259;1;250,0;12,0;11;7.72%;1;可口可樂Can250ml;10000011001;ml;24;bottle;9,958333333333334;10,791666666666666;7,722007722007712;volume;月;0
