title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;_query_key;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;is_new_product
優品水槽管路清潔錠;日用生活;65;優品;規格：3pc錠x1x1box盒;優品除蟑錠 除蟑錠;99;1;3,0;33,3;1407;34.34%;1;優品除蟑錠除蟑錠;11071011001;pc;1;box;65,0;99,0;34,34343434343434;count;月;1
白博士廚房去污濕巾60入;日用生活;89;白博士;規格：60pc張x1x1pc包;白博士廚房去污濕巾60入;94;1;60,0;36,0;794;5.32%;1;白博士廚房去污濕巾60入;11021002001;pc;1;pc;89,0;94,0;5,319148936170213;count;月;0
立得清抗菌抗病毒濕巾10抽2入;日用生活;79;立得清;規格：10pc抽x2x1set組;立得清腸病毒濕巾10抽2入;0;1;10,0;36,0;817;0.00%;0;立得清腸病毒濕巾10抽2入;11021032001;pc;2;set;39,5;0,0;0,0;count;月;0
台糖酒精擦隨身包10PC;日用生活;22;台糖;規格：10pc抽x1x1pack包;台糖酒精擦隨身包;24;1;10,0;36,0;826;8.33%;0;台糖酒精擦隨身包;11021047001;pc;1;pack;22,0;24,0;8,333333333333332;count;月;0
高樂氏-居家殺菌濕紙巾(檸檬香)75片;日用生活;249;高樂氏;規格：75pc片x1x1pc盒;高樂氏居家殺菌濕紙巾;0;1;75,0;36,0;828;0.00%;1;高樂氏居家殺菌濕紙巾;11021051001;pc;1;pc;249,0;0,0;0,0;count;月;0
立得清酒精瞬潔擦濕巾50抽;日用生活;75;立得清;規格：50pc片x1x1pc包;立得清酒精瞬潔擦濕巾50抽;0;1;50,0;36,0;843;0.00%;0;立得清酒精瞬潔擦濕巾50抽;11021071001;pc;1;pc;75,0;0,0;0,0;count;月;0
優品水槽管路清潔錠;日用生活;65;優品;規格：3pc錠x1x1box盒;優品水槽管路清潔錠;99;1;3,0;33,3;1149;34.34%;0;優品水槽管路清潔錠;11042015001;pc;1;box;65,0;99,0;34,34343434343434;count;月;0
檸檬酸500g;日用生活;99;H&K家居;規格：1pc個x1x1pc個;白象萬用小蘇打粉;0;1;1,0;240,0;1297;0.00%;0;白象萬用小蘇打粉;11051055001;pc;1;pc;99,0;0,0;0,0;count;月;0
檸檬酸500g;日用生活;99;H&K家居;規格：1pc個x1x1pc個;白象萬用檸檬酸;0;1;1,0;240,0;1298;0.00%;1;白象萬用檸檬酸;11051056001;pc;1;pc;99,0;0,0;0,0;count;月;0
百利潔力豆海綿菜瓜布;日用生活;94;3M;規格：4pc片x1x1pc片;百利潔力豆海綿菜瓜布;0;1;4,0;120,0;1304;0.00%;0;百利潔力豆海綿菜瓜布;11061001001;pc;1;pc;94,0;0,0;0,0;count;月;0
驅塵氏吸水膠棉拖補充包;日用生活;99;驅塵氏;規格：1pc支x1x1pc支;家福海綿3入 家福海綿3入;0;1;1,0;33,3;1307;0.00%;0;家福海綿3入家福海綿3入;11061005001;pc;1;pc;99,0;0,0;0,0;count;月;0
家樂福植物性彩色海綿;日用生活;75;家樂福自有品牌;規格：3pc片x1x1pack包;家福植物性彩色海綿 植物性彩色海綿;0;1;3,0;33,3;1309;0.00%;1;家福植物性彩色海綿植物性彩色海綿;11061008001;pc;1;pack;75,0;0,0;0,0;count;月;0
OP茶樹抗菌海綿菜瓜布;日用生活;55;OP;規格：1pc包x1x1pc包;OP茶樹抗菌海綿菜瓜布;59;1;1,0;120,0;1311;6.78%;0;OP茶樹抗菌海綿菜瓜布;11061011001;pc;1;pc;55,0;59,0;6,779661016949152;count;月;0
楓康三效海棉菜瓜布4入;日用生活;63;楓康;規格：1pc個x1x1pc個;家福木漿棉菜瓜布3入 木漿棉菜瓜布;0;1;1,0;120,0;1312;0.00%;1;家福木漿棉菜瓜布3入木漿棉菜瓜布;11061015001;pc;1;pc;63,0;0,0;0,0;count;月;0
3M百利爐具專用木漿棉菜瓜布3片;日用生活;99;3M;規格：3pc片x1x1pack包;百利天然木漿棉菜瓜布-爐具;115;1;3,0;120,0;1313;13.91%;1;百利天然木漿棉菜瓜布-爐具;11061016001;pc;1;pack;99,0;115,0;13,91304347826087;count;月;0
OP柑橘除油海綿菜瓜布;日用生活;55;OP;規格：1pc包x1x1pc包;OP柑橘除油海綿菜瓜布;59;1;1,0;120,0;1314;6.78%;1;OP柑橘除油海綿菜瓜布;11061023001;pc;1;pc;55,0;59,0;6,779661016949152;count;月;0
百利衛浴專用海綿菜瓜布2片裝;日用生活;65;3M;規格：2pc片x1x1pack包;家福海棉菜瓜布衛浴專用2入 浴室專用菜瓜布;0;1;2,0;120,0;1318;0.00%;1;家福海棉菜瓜布衛浴專用2入浴室專用菜瓜布;11061028001;pc;1;pack;65,0;0,0;0,0;count;月;0
3M百利細緻餐具專用木漿棉菜瓜布3片;日用生活;99;3M;規格：3pc片x1x1pack包;百利天然木漿棉菜瓜布細緻餐具;115;1;3,0;120,0;1320;13.91%;0;百利天然木漿棉菜瓜布細緻餐具;11061030001;pc;1;pack;99,0;115,0;13,91304347826087;count;月;0
百利衛浴專用海綿菜瓜布2片裝;日用生活;65;3M;規格：2pc片x1x1pack包;百利衛浴專用海綿菜瓜布2片裝;0;1;2,0;120,0;1321;0.00%;1;百利衛浴專用海綿菜瓜布2片裝;11061031001;pc;1;pack;65,0;0,0;0,0;count;月;0
百利細緻餐具專用好握型海綿菜瓜布5片裝;日用生活;92;3M;規格：5pc片x1x1bag包;百利細緻餐具專用海綿菜瓜布;99;1;5,0;120,0;1325;7.07%;1;百利細緻餐具專用海綿菜瓜布;11061039001;pc;1;bag;92,0;99,0;7,07070707070707;count;月;0
百利天然木漿棉加大版(粉紅/萊姆綠/藍)隨機出貨;日用生活;69;3M;規格：2pc片x1x1bag包;百利天然木漿棉加大版;75;1;2,0;120,0;1328;8.00%;0;百利天然木漿棉加大版;11061049001;pc;1;bag;69,0;75,0;8,0;count;月;0
百利隨手掛架組餐具專用補充;日用生活;95;3M;規格：5pc片x1x1pack包;百利隨手掛架組餐具專用 餐具專用;0;1;5,0;120,0;1330;0.00%;0;百利隨手掛架組餐具專用餐具專用;11061051001;pc;1;pack;95,0;0,0;0,0;count;月;0
百利隨手掛架組爐廚專用補充;日用生活;95;3M;規格：5pc片x1x1pack包;百利隨手掛架組爐廚專用補充 爐廚專用補充;0;1;5,0;120,0;1331;0.00%;0;百利隨手掛架組爐廚專用補充爐廚專用補充;11061052001;pc;1;pack;95,0;0,0;0,0;count;月;0
百利隨手掛架組餐具專用補充;日用生活;95;3M;規格：5pc片x1x1pack包;百利隨手掛架組餐具專用補充;0;1;5,0;120,0;1332;0.00%;1;百利隨手掛架組餐具專用補充;11061053001;pc;1;pack;95,0;0,0;0,0;count;月;0
