title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;is_new_product
Olay活膚精華霜50g;美妝個清;407;OLAY;規格：50g克x1x1bottle瓶;Olay活膚精華霜 歐蕾活膚精華霜;419;1;50,0;33,3;3704;2.86%;0;12023125001;g;1;bottle;407,0;419,0;2,863961813842482;weight;月;6,0112671744041615;6,040254711277414;0,0027639134122096;0,5581736020424758;0,6481457603181705;0,043358784432675;1
566洗潤雙效洗髮乳800g;美妝個清;105;566;規格：800g克x1x1bottle瓶;566洗潤雙效洗髮乳;124;1;800,0;33,3;2047;15.32%;0;12000016001;g;1;bottle;105,0;124,0;15,32258064516129;weight;月;4,663439094112067;4,8283137373023015;0,0027639134122096;0,4171105797804492;0,518099190829759;0,2319753245084179;0
麗仕柔亮直順洗髮乳;美妝個清;189;Lux麗仕;規格：750g克x1x1pc瓶;麗仕柔亮直順洗髮乳 麗仕直順洗髮乳;0;1;750,0;36,0;2062;0.00%;1;12000042001;g;1;pc;189,0;0,0;0,0;weight;月;5,247024072160486;0,0;0,0029891417687377;0,4781882958140757;0,0;0,0;0
麗仕柔亮清爽洗髮乳;美妝個清;189;Lux麗仕;規格：750g克x1x1pc瓶;麗仕柔亮清爽洗髮乳 麗仕清爽洗髮乳;0;1;750,0;36,0;2091;0.00%;1;12000081001;g;1;pc;189,0;0,0;0,0;weight;月;5,247024072160486;0,0;0,0029891417687377;0,4781882958140757;0,0;0,0;0
566薄荷淨屑洗髮露800g;美妝個清;115;566;規格：800g克x1x1pc瓶;566 薄荷淨屑洗髮露;124;1;800,0;60,0;2096;7.26%;1;12000089001;g;1;pc;115,0;124,0;7,258064516129033;weight;月;4,7535901911063645;4,8283137373023015;0,0049911716045434;0,4265457491378771;0,518099190829759;0,1098830484513558;0
566蛋黃素洗髮乳800g;美妝個清;105;566;規格：800g克x1x1bottle瓶;566蛋黃素洗髮乳;124;1;800,0;33,3;2101;15.32%;0;12000097001;g;1;bottle;105,0;124,0;15,32258064516129;weight;月;4,663439094112067;4,8283137373023015;0,0027639134122096;0,4171105797804492;0,518099190829759;0,2319753245084179;0
飛柔控油去屑洗髮露組;美妝個清;215;飛柔;規格：1000g克x1x1set組;超值薄荷洗髮乳;0;1;1000,0;36,0;2104;0.00%;1;12000101001;g;1;set;215,0;0,0;0,0;weight;月;5,375278407684165;0,0;0,0029891417687377;0,4916113313270747;0,0;0,0;0
麗仕柔亮修護洗髮乳;美妝個清;189;Lux麗仕;規格：750g克x1x1pc瓶;麗仕柔亮修護洗髮乳 麗仕修護洗髮乳;0;1;750,0;36,0;2118;0.00%;1;12000129001;g;1;pc;189,0;0,0;0,0;weight;月;5,247024072160486;0,0;0,0029891417687377;0,4781882958140757;0,0;0,0;0
潘婷奇蹟系列柔亮護色護髮精華素;美妝個清;329;Pantene潘婷;規格：500g克x1x1pc瓶;潘婷奇蹟系列柔亮護色洗髮露 潘婷奇蹟護色洗;355;1;500,0;36,0;2121;7.32%;0;12000135001;g;1;pc;329,0;355,0;7,323943661971831;weight;月;5,799092654460526;5,87493073085203;0,0029891417687377;0,5359675214095826;0,6304057738252871;0,1108804219740755;0
麗仕柔亮強韌洗髮乳;美妝個清;189;Lux麗仕;規格：750g克x1x1pc瓶;麗仕柔亮強韌洗髮乳 麗仕強韌洗髮乳;0;1;750,0;36,0;2135;0.00%;1;12000163001;g;1;pc;189,0;0,0;0,0;weight;月;5,247024072160486;0,0;0,0029891417687377;0,4781882958140757;0,0;0,0;0
麗仕柔亮絲滑潤髮乳;美妝個清;189;Lux麗仕;規格：650g克x1x1pc瓶;麗仕柔亮絲滑洗髮乳 麗仕絲滑洗髮乳;0;1;650,0;36,0;2139;0.00%;1;12000169001;g;1;pc;189,0;0,0;0,0;weight;月;5,247024072160486;0,0;0,0029891417687377;0,4781882958140757;0,0;0,0;0
566潤澤抗菌香氛洗髮精-白麝香800g;美妝個清;108;566;規格：800g克x1x1bottle瓶;566潤澤抗菌香氛洗髮精-白麝香 潤澤抗菌白麝香;119;1;800,0;60,0;2145;9.24%;0;12000182001;g;1;bottle;108,0;119,0;9,243697478991598;weight;月;4,691347882229144;4,787491742782046;0,0049911716045434;0,4200314997828075;0,5137188121966135;0,1399444239847333;0
潘婷絲質順滑洗髮露650G;美妝個清;199;;規格：650g克x1x1bottle瓶;潘婷強韌頭髮減少斷裂洗髮精;0;1;650,0;36,0;2163;0.00%;1;12000207001;g;1;bottle;199,0;0,0;0,0;weight;月;5,298317366548036;0,0;0,0029891417687377;0,4835566267116747;0,0;0,0;0
566抗屑抗菌香氛洗髮精-小蒼蘭800g;美妝個清;108;566;規格：800g克x1x1bottle瓶;566抗屑抗菌香氛洗髮精-小蒼蘭 抗屑抗菌小蒼蘭;119;1;800,0;60,0;2175;9.24%;1;12000223001;g;1;bottle;108,0;119,0;9,243697478991598;weight;月;4,691347882229144;4,787491742782046;0,0049911716045434;0,4200314997828075;0,5137188121966135;0,1399444239847333;0
清淨海環保洗髮精-750g;美妝個清;129;清淨海;規格：750g克x1x1bottle瓶;清淨海環保洗髮精;139;1;750,0;33,3;2205;7.19%;1;12000288001;g;1;bottle;129,0;139,0;7,194244604316546;weight;月;4,867534450455582;4,941642422609304;0,0027639134122096;0,4384710991348332;0,5302598546453138;0,1089168505832783;0
麗仕柔亮護色洗髮乳;美妝個清;189;Lux麗仕;規格：750g克x1x1pc瓶;麗仕柔亮護色洗髮乳;0;1;750,0;36,0;2215;0.00%;1;12000314001;g;1;pc;189,0;0,0;0,0;weight;月;5,247024072160486;0,0;0,0029891417687377;0,4781882958140757;0,0;0,0;0
麗仕髮的補給角蛋白胺基酸蓬鬆洗髮精;美妝個清;299;Lux麗仕;規格：450g克x1x1pc瓶;麗仕髮的補給角蛋白胺基酸洗髮精;323;1;450,0;36,0;2242;7.43%;1;12000366001;g;1;pc;299,0;323,0;7,430340557275541;weight;月;5,703782474656201;5,780743515792329;0,0029891417687377;0,5259924049892291;0,6202990735228737;0,1124912116240918;0
麗仕髮的補給膠原蛋白胺基酸保濕洗髮精;美妝個清;299;Lux麗仕;規格：450g克x1x1pc瓶;麗仕髮的補給膠原蛋白胺基酸洗髮精;323;1;450,0;36,0;2244;7.43%;0;12000372001;g;1;pc;299,0;323,0;7,430340557275541;weight;月;5,703782474656201;5,780743515792329;0,0029891417687377;0,5259924049892291;0,6202990735228737;0,1124912116240918;0
蒂沐蝶深層純淨洗髮精500g;美妝個清;263;Timotei 蒂沐蝶;規格：500g克x1x1pc瓶;蒂沐蝶深層純淨洗髮精;0;1;500,0;36,0;2246;0.00%;0;12000374001;g;1;pc;263,0;0,0;0,0;weight;月;5,575949103146316;0,0;0,0029891417687377;0,5126134273623341;0,0;0,0;0
蒂沐蝶玫瑰保濕植萃洗髮精500g;美妝個清;263;Timotei 蒂沐蝶;規格：500g克x1x1pc瓶;蒂沐蝶玫瑰保濕植萃洗髮精;0;1;500,0;36,0;2247;0.00%;0;12000375001;g;1;pc;263,0;0,0;0,0;weight;月;5,575949103146316;0,0;0,0029891417687377;0,5126134273623341;0,0;0,0;0
蒂沐蝶茶樹清爽植萃洗髮精500g;美妝個清;263;Timotei 蒂沐蝶;規格：500g克x1x1pc瓶;蒂沐蝶茶樹清爽植萃洗髮精;0;1;500,0;36,0;2248;0.00%;1;12000377001;g;1;pc;263,0;0,0;0,0;weight;月;5,575949103146316;0,0;0,0029891417687377;0,5126134273623341;0,0;0,0;0
多芬深層修護洗髮乳;美妝個清;179;Dove 多芬;規格：700g克x1x1pc瓶;多芬深層修護洗髮乳;0;1;700,0;36,0;2273;0.00%;0;12000125001;g;1;pc;179,0;0,0;0,0;weight;月;5,19295685089021;0,0;0,0029891417687377;0,472529647096769;0,0;0,0;0
蒂沐蝶金盞花修護植萃洗髮精-500g;美妝個清;263;Timotei 蒂沐蝶;規格：500g克x1x1pc瓶;蒂沐蝶金盞花修護植萃洗髮精;0;1;500,0;36,0;2277;0.00%;1;12000469001;g;1;pc;263,0;0,0;0,0;weight;月;5,575949103146316;0,0;0,0029891417687377;0,5126134273623341;0,0;0,0;0
多芬清爽淨化洗髮乳;美妝個清;179;Dove 多芬;規格：700g克x1x1pc瓶;多芬清爽淨化洗髮乳;0;1;700,0;36,0;2282;0.00%;1;12000495001;g;1;pc;179,0;0,0;0,0;weight;月;5,19295685089021;0,0;0,0029891417687377;0,472529647096769;0,0;0,0;0
多芬直順亮澤洗髮乳700g;美妝個清;179;Dove 多芬;規格：700g克x1x1pc瓶;多芬直順亮澤洗髮乳;0;1;700,0;36,0;2284;0.00%;0;12000497001;g;1;pc;179,0;0,0;0,0;weight;月;5,19295685089021;0,0;0,0029891417687377;0,472529647096769;0,0;0,0;0
多芬輕盈蓬鬆洗髮乳700g;美妝個清;179;Dove 多芬;規格：700g克x1x1pc瓶;多芬輕盈蓬鬆洗髮乳;0;1;700,0;36,0;2285;0.00%;0;12000498001;g;1;pc;179,0;0,0;0,0;weight;月;5,19295685089021;0,0;0,0029891417687377;0,472529647096769;0,0;0,0;0
海倫仙度絲去屑洗髮露止癢呵護680g;美妝個清;249;海倫仙度絲;規格：680g克x1x1bottle瓶;海倫仙度絲去屑止癢呵護洗髮乳;0;1;680,0;36,0;2292;0.00%;0;12001004001;g;1;bottle;249,0;0,0;0,0;weight;月;5,521460917862246;0,0;0,0029891417687377;0,5069107207589233;0,0;0,0;0
飛柔滋潤去屑洗髮露;美妝個清;139;Pert飛柔;規格：750g克x1x1bottle瓶;飛柔去頭皮屑熱油洗髮乳;0;1;750,0;36,0;2310;0.00%;0;12001029001;g;1;bottle;139,0;0,0;0,0;weight;月;4,941642422609304;0,0;0,0029891417687377;0,4462272029573983;0,0;0,0;0
海倫仙度絲去屑洗髮露薄荷舒爽680+400;美妝個清;299;;規格：1080g克x1x1set組;海倫薄荷舒爽去屑洗髮乳;323;1;1080,0;36,0;2320;7.43%;1;12001049001;g;1;set;299,0;323,0;7,430340557275541;weight;月;5,703782474656201;5,780743515792329;0,0029891417687377;0,5259924049892291;0,6202990735228737;0,1124912116240918;0
【Clear淨】女士去屑洗髮乳控油平衡型;美妝個清;239;Clear淨;規格：750g克x1x1pc瓶;淨女士去屑洗髮乳控油平衡型 淨女去屑洗控油;0;1;750,0;36,0;2341;0.00%;0;12001077001;g;1;pc;239,0;0,0;0,0;weight;月;5,480638923341991;0,0;0,0029891417687377;0,5026383109419805;0,0;0,0;0
麗仕柔亮去屑止癢洗髮乳;美妝個清;189;Lux麗仕;規格：750g克x1x1pc瓶;麗仕柔亮去屑止癢洗髮乳 麗仕去屑洗髮乳;0;1;750,0;36,0;2361;0.00%;0;12001112001;g;1;pc;189,0;0,0;0,0;weight;月;5,247024072160486;0,0;0,0029891417687377;0,4781882958140757;0,0;0,0;0
澎澎MAN咖啡因洗髮露650g;美妝個清;152;PON PON 澎澎;規格：650g克x1x1pc瓶;澎澎MAN咖啡因洗髮露 澎澎咖啡因洗髮;0;1;650,0;60,0;2365;0.00%;1;12001999001;g;1;pc;152,0;0,0;0,0;weight;月;5,030437921392435;0,0;0,0049911716045434;0,4555204960744983;0,0;0,0;0
多芬深層修護潤髮乳700g;美妝個清;179;Dove 多芬;規格：700g克x1x1pc瓶;多芬深層修護潤髮乳;0;1;700,0;36,0;2373;0.00%;1;12002013001;g;1;pc;179,0;0,0;0,0;weight;月;5,19295685089021;0,0;0,0029891417687377;0,472529647096769;0,0;0,0;0
潘婷奇蹟系列柔亮護色護髮精華素;美妝個清;329;Pantene潘婷;規格：500g克x1x1pc瓶;潘婷強韌減少斷裂潤髮精華素 強韌減少斷裂;355;1;500,0;36,0;2376;7.32%;1;12002018001;g;1;pc;329,0;355,0;7,323943661971831;weight;月;5,799092654460526;5,87493073085203;0,0029891417687377;0,5359675214095826;0,6304057738252871;0,1108804219740755;0
多芬直順亮澤潤髮乳700g;美妝個清;179;Dove 多芬;規格：700g克x1x1pc瓶;多芬直順亮澤潤髮乳;0;1;700,0;36,0;2406;0.00%;1;12002084001;g;1;pc;179,0;0,0;0,0;weight;月;5,19295685089021;0,0;0,0029891417687377;0,472529647096769;0,0;0,0;0
麗仕柔亮強韌潤髮乳;美妝個清;189;Lux麗仕;規格：650g克x1x1pc瓶;麗仕柔亮強韌潤髮乳 麗仕強韌潤髮乳;0;1;650,0;36,0;2413;0.00%;0;12002104001;g;1;pc;189,0;0,0;0,0;weight;月;5,247024072160486;0,0;0,0029891417687377;0,4781882958140757;0,0;0,0;0
麗仕柔亮直順潤髮乳;美妝個清;189;Lux麗仕;規格：650g克x1x1pc瓶;麗仕柔亮直順潤髮乳 麗仕直順潤髮乳;0;1;650,0;36,0;2414;0.00%;0;12002105001;g;1;pc;189,0;0,0;0,0;weight;月;5,247024072160486;0,0;0,0029891417687377;0,4781882958140757;0,0;0,0;0
麗仕柔亮修護潤髮乳;美妝個清;189;Lux麗仕;規格：650g克x1x1pc瓶;麗仕柔亮修護潤髮乳;0;1;650,0;36,0;2416;0.00%;0;12002107001;g;1;pc;189,0;0,0;0,0;weight;月;5,247024072160486;0,0;0,0029891417687377;0,4781882958140757;0,0;0,0;0
多芬輕盈蓬鬆潤髮乳700g;美妝個清;179;Dove 多芬;規格：700g克x1x1pc瓶;多芬輕盈蓬鬆潤髮乳;0;1;700,0;36,0;2419;0.00%;1;12002114001;g;1;pc;179,0;0,0;0,0;weight;月;5,19295685089021;0,0;0,0029891417687377;0,472529647096769;0,0;0,0;0
花香5原效潤絲精;美妝個清;129;花香5;規格：1100g克x1x1bottle瓶;花香5原效潤絲精;158;1;1100,0;33,3;2420;18.35%;0;12002118001;g;1;bottle;129,0;158,0;18,35443037974684;weight;月;4,867534450455582;5,068904202220232;0,0027639134122096;0,4384710991348332;0,5439156004454646;0,277875838418478;0
飛柔免沖洗瞬效柔順護髮精華380g;美妝個清;199;Pert飛柔;規格：380g克x1x1bottle瓶;飛柔免沖洗瞬效柔順護髮精華 瞬效柔順;242;1;380,0;36,0;2440;17.77%;0;12003006001;g;1;bottle;199,0;242,0;17,768595041322314;weight;月;5,298317366548036;5,493061443340548;0,0029891417687377;0,4835566267116747;0,5894295283642833;0,2690066181554773;0
【Timotei蒂沐蝶】玫瑰保濕植萃護髮乳;美妝個清;263;Timotei 蒂沐蝶;規格：500g克x1x1pc瓶;蒂沐蝶玫瑰保濕植萃護髮乳;0;1;500,0;36,0;2488;0.00%;1;12003084001;g;1;pc;263,0;0,0;0,0;weight;月;5,575949103146316;0,0;0,0029891417687377;0,5126134273623341;0,0;0,0;0
麗仕髮的補給角蛋白胺基酸蓬鬆護髮乳;美妝個清;299;Lux麗仕;規格：450g克x1x1pc瓶;麗仕髮的補給角蛋白胺基酸護髮乳 角蛋白護髮乳;323;1;450,0;36,0;2501;7.43%;0;12003104001;g;1;pc;299,0;323,0;7,430340557275541;weight;月;5,703782474656201;5,780743515792329;0,0029891417687377;0,5259924049892291;0,6202990735228737;0,1124912116240918;0
瑪宣妮珍珠光護髮優格;美妝個清;290;;規格：180g克x1x1pc個;瑪宣妮珍珠光護髮優格 珍珠光護髮優格;0;1;180,0;60,0;2505;0.00%;1;12003111001;g;1;pc;290,0;0,0;0,0;weight;月;5,673323267171493;0,0;0,0049911716045434;0,5228045593534801;0,0;0,0;0
麗仕髮的補給膠原蛋白胺基酸保濕護髮乳;美妝個清;299;Lux麗仕;規格：450g克x1x1pc瓶;麗仕髮的補給膠原蛋白胺基酸護髮乳 膠原蛋白護髮;323;1;450,0;36,0;2506;7.43%;1;12003113001;g;1;pc;299,0;323,0;7,430340557275541;weight;月;5,703782474656201;5,780743515792329;0,0029891417687377;0,5259924049892291;0,6202990735228737;0,1124912116240918;0
【Timotei蒂沐蝶】茶樹清爽植萃護髮乳;美妝個清;263;Timotei 蒂沐蝶;規格：500g克x1x1pc瓶;蒂沐蝶茶樹清爽植萃護髮乳;299;1;500,0;36,0;2516;12.04%;0;12003134001;g;1;pc;263,0;299,0;12,040133779264217;weight;月;5,575949103146316;5,703782474656201;0,0029891417687377;0,5126134273623341;0,6120408170574764;0,1822809098055937;0
