title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized;is_new_product
妙管家廚房清潔劑噴槍-650g;日用生活;59;妙管家;規格：650g克x1x1bottle瓶;妙管家廚房清潔劑噴槍 妙管家廚房清潔;0;1;650,0;36,0;886;0.00%;1;11022077001;g;1;bottle;59,0;0,0;0,0;weight;月;4,0943445622221;0,0;0,0029891417687377;0,3575494266964488;0,0;0,0;1
香滿室薰衣草地板清潔劑補充包;日用生活;85;毛寶;規格：1800g克x1x1bottle瓶;香滿室薰衣草地板清潔劑補充包;95;1;1800,0;33,3;751;10.53%;0;11010016001;g;1;bottle;85,0;95,0;10,526315789473683;weight;月;4,454347296253507;4,564348191467836;0,0027639134122096;0,3952271353208731;0,4897745327514743;0,1593625498007967;0
白帥帥防蟑地板清潔劑-2000g;日用生活;169;白帥帥;規格：2000g克x1x1bottle瓶;白帥帥防蟑地板清潔劑;0;1;2000,0;33,3;752;0.00%;1;11010018001;g;1;bottle;169,0;0,0;0,0;weight;月;5,135798437050262;0,0;0,0027639134122096;0,4665474756894042;0,0;0,0;0
毛寶香滿室檀木馨香地板清潔劑;日用生活;109;毛寶;規格：2000g克x1x1bottle瓶;毛寶香滿室檀木馨香地板清潔劑;0;1;2000,0;33,3;764;0.00%;0;11010035001;g;1;bottle;109,0;0,0;0,0;weight;月;4,700480365792417;0,0;0,0027639134122096;0,4209873010092624;0,0;0,0;0
家樂福超值地板清潔劑;日用生活;99;家樂福;規格：4000g克x1x1bottle瓶;家福超值地板清潔劑;0;1;4000,0;33,3;768;0.00%;1;11010042001;g;1;bottle;99,0;0,0;0,0;weight;月;4,605170185988092;0,0;0,0027639134122096;0,411012184588909;0,0;0,0;0
毛寶香滿室檀木地板清潔補充包;日用生活;85;毛寶;規格：1800g克x1x1bag袋;毛寶香滿室檀木地板清潔補充包;95;1;1800,0;33,3;769;10.53%;1;11010043001;g;1;bag;85,0;95,0;10,526315789473683;weight;月;4,454347296253507;4,564348191467836;0,0027639134122096;0,3952271353208731;0,4897745327514743;0,1593625498007967;0
毛寶香滿室海洋微風清潔補充包;日用生活;85;毛寶;規格：1800g克x1x1bag袋;毛寶香滿室海洋微風清潔補充包;95;1;1800,0;33,3;770;10.53%;1;11010045001;g;1;bag;85,0;95,0;10,526315789473683;weight;月;4,454347296253507;4,564348191467836;0,0027639134122096;0,3952271353208731;0,4897745327514743;0,1593625498007967;0
妙管家公道先生地板清潔劑(檸檬清香)2000g;日用生活;85;妙管家;規格：2000g克x1x1bottle瓶;公道先生地板清潔劑;95;1;2000,0;33,3;772;10.53%;1;11010051001;g;1;bottle;85,0;95,0;10,526315789473683;weight;月;4,454347296253507;4,564348191467836;0,0027639134122096;0,3952271353208731;0,4897745327514743;0,1593625498007967;0
妙管家木質地板清潔劑1000g;日用生活;89;妙管家;規格：1000g克x1x1bottle瓶;妙管家木質地板清潔劑;99;1;1000,0;36,0;783;10.10%;1;11010116001;g;1;bottle;89,0;99,0;10,1010101010101;weight;月;4,499809670330265;4,605170185988092;0,0029891417687377;0,3999852049740031;0,4941549113846197;0,1529236588997545;0
威猛先生玻璃清潔劑噴槍瓶;日用生活;66;威猛先生;規格：500g克x1x1bottle瓶;威猛先生玻璃清潔劑;72;1;500,0;33,3;789;8.33%;1;11020005001;g;1;bottle;66,0;72,0;8,333333333333332;weight;月;4,204692619390966;4,290459441148391;0,0027639134122096;0,3690983999465161;0,4603850714118799;0,1261620185922974;0
新威猛先生玻璃重裝;日用生活;69;威猛先生;規格：500g克x1x2set組;新威猛先生玻璃重裝;104;1;500,0;33,3;791;33.65%;1;11020010001;g;2;set;34,5;52,0;33,65384615384615;weight;月;3,56953269648137;3,970291913552122;0,0027639134122096;0,3026228756156043;0,426029694772608;0,5095004596996628;0
妙管家玻璃亮光清潔劑-噴槍瓶650g;日用生活;55;妙管家;規格：650g克x1x1bottle瓶;妙管家玻璃亮光清潔劑;65;1;650,0;33,3;793;15.38%;1;11020013001;g;1;bottle;55,0;65,0;15,384615384615383;weight;月;4,02535169073515;4,189654742026425;0,0027639134122096;0,350328666787384;0,4495682861140571;0,232914495862703;0
威猛先生廚房超強效超值組(噴+補);日用生活;85;威猛先生;規格：500g克x2x1set組;威猛先生廚房超強效;135;1;500,0;36,0;798;37.04%;1;11021006001;g;2;set;42,5;67,5;37,03703703703704;weight;月;3,7727609380946383;4,22683374526818;0,0029891417687377;0,3238926431698997;0,4535577558427107;0,5607200826324332;0
