iteration,best_objective
0,512.12255859375
1,540.7398681640625
2,540.7398681640625
3,541.7662963867188
4,541.7662963867188
5,545.6076049804688
6,547.0511474609375
7,553.7874755859375
8,561.2398681640625
9,561.2398681640625
10,561.2398681640625
11,561.2398681640625
12,561.2398681640625
13,561.2398681640625
14,561.2398681640625
15,561.2398681640625
16,561.2398681640625
17,561.2398681640625
18,561.2398681640625
19,561.2398681640625
20,561.2398681640625
21,561.2398681640625
22,561.2398681640625
23,561.2398681640625
24,561.2398681640625
25,561.2398681640625
26,561.2398681640625
27,561.2398681640625
28,561.2398681640625
29,561.2398681640625
30,561.2398681640625
31,561.2398681640625
32,570.0943603515625
33,570.0943603515625
34,570.0943603515625
35,570.0943603515625
36,570.0943603515625
37,570.0943603515625
38,570.0943603515625
39,570.0943603515625
40,570.0943603515625
41,570.0943603515625
42,570.0943603515625
43,570.0943603515625
44,570.0943603515625
45,570.0943603515625
46,570.0943603515625
47,570.0943603515625
48,570.0943603515625
49,570.0943603515625
50,570.0943603515625
51,570.0943603515625
52,570.0943603515625
53,570.0943603515625
54,570.0943603515625
55,570.0943603515625
56,570.0943603515625
57,570.0943603515625
58,570.0943603515625
59,570.0943603515625
60,570.0943603515625
61,570.0943603515625
62,570.0943603515625
63,570.0943603515625
64,570.0943603515625
65,570.0943603515625
66,570.0943603515625
67,570.0943603515625
68,570.0943603515625
69,572.08203125
70,572.08203125
71,572.08203125
72,572.08203125
73,572.08203125
74,572.5811157226562
75,572.5811157226562
76,572.5811157226562
77,572.5811157226562
78,572.5811157226562
79,572.5811157226562
80,572.5811157226562
81,572.5811157226562
82,572.5811157226562
83,572.5811157226562
84,572.5811157226562
85,572.5811157226562
86,572.5811157226562
87,572.5811157226562
88,572.5811157226562
89,572.5811157226562
90,572.5811157226562
91,572.5811157226562
92,572.5811157226562
93,572.5811157226562
94,572.5811157226562
95,572.5811157226562
96,572.5811157226562
97,572.5811157226562
98,572.5811157226562
99,572.5811157226562
100,572.5811157226562
