item_code,(箱)長cm,(箱)寬cm,(箱)高cm,max_comp_number
10014898001,40.0,27.0,22.0,6
10014905001,37.0,25.0,17.0,13
10015004001,34.0,20.0,13.0,24
10015005001,38.0,26.0,24.0,9
10015007001,33.0,22.0,14.0,19
10015008001,38.0,28.0,32.0,6
10015010001,35.0,20.0,11.0,28
10015011001,34.0,20.0,11.0,28
10016002001,36.0,24.0,16.0,16
10016006001,40.0,16.0,13.0,20
10016011001,40.0,27.0,12.0,11
10016014001,40.0,27.0,13.0,10
10016015001,35.0,20.0,11.0,28
10016018001,41.0,28.0,25.0,5
10016020001,41.0,28.0,25.0,5
10016021001,33.0,27.0,12.0,18
10020001001,35.0,24.0,12.0,22
10020002001,40.0,19.0,14.0,16
10020003001,40.0,27.0,10.0,13
10020004001,33.0,22.0,13.0,20
10020005001,33.0,22.0,12.0,22
10020006001,40.0,27.0,10.0,13
10020007001,40.0,27.0,10.0,13
10020008001,44.0,29.0,20.0,6
10020009001,40.0,27.0,13.0,10
10020010001,44.0,29.0,20.0,6
10020011001,34.0,20.0,12.0,26
10020012001,40.0,27.0,10.0,13
10020013001,40.0,27.0,10.0,13
10020014001,30.0,22.0,26.0,10
10020015001,40.0,27.0,10.0,13
10020016001,42.0,29.0,20.0,6
10020017001,40.0,27.0,10.0,13
10020018001,40.0,27.0,10.0,13
10020019001,33.0,22.0,13.0,20
10020020001,40.0,19.0,14.0,16
10020024001,33.0,22.0,13.0,20
10020025001,33.0,22.0,13.0,20
10020027001,39.0,20.0,14.0,22
10020028001,41.0,27.0,14.0,9
10020029001,35.0,24.0,12.0,22
10020030001,42.0,28.0,20.0,6
10020032001,40.0,28.0,10.0,13
10020033001,40.0,27.0,13.0,10
10020034001,35.0,20.0,14.0,22
10020035001,36.0,24.0,12.0,22
10020036001,41.0,27.0,24.0,5
10020037001,33.0,27.0,11.0,20
10020038001,40.0,27.0,10.0,13
10020039001,33.0,27.0,11.0,20
10020040001,33.0,27.0,11.0,20
10020041001,33.0,27.0,11.0,20
10020042001,41.0,27.0,23.0,5
10020043001,40.0,20.0,14.0,12
10020046001,33.0,22.0,12.0,22
