item_code;product_name;history_days;lead_time_days;service_level;bootstrap_repetitions;resampling_method;evaluation_status;train_days;test_days;number_of_test_cases;evaluation_reorder_point;evaluation_mean_lead_time_demand;evaluation_safety_stock;achieved_csl;shortage_units;fill_rate;total_actual_lead_time_demand
14631018001;愛之味甜辣醬 165g;20;2;0,950000;10000;with_replacement;ok;16,000000;4,000000;3,000000;33,000000;15,732300;17,267700;1,000000;0,000000;1,000000;54,000000
14631022001;安安辣椒醬 130g:辣椒醬;9;2;0,950000;10000;with_replacement;ok;7,000000;2,000000;1,000000;3,000000;0,862700;2,137300;1,000000;0,000000;1,000000;2,000000
14631026001;東泉辣椒醬;20;2;0,950000;10000;with_replacement;ok;16,000000;4,000000;3,000000;11,000000;5,508500;5,491500;1,000000;0,000000;1,000000;17,000000
14631028001;愛之味甜辣醬390g;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;8,000000;1,626200;6,373800;1,000000;0,000000;1,000000;16,000000
14631042001;TABASCO紅椒汁;1;2;0,950000;10000;with_replacement;not_enough_history_for_holdout;;;;;;;;;;
14631043001;寧記蒜蓉辣椒醬245g;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;8,000000;2,163600;5,836400;1,000000;0,000000;1,000000;7,000000
14631047001;寧記辣椒大王醬245g;19;2;0,950000;10000;with_replacement;ok;15,000000;4,000000;3,000000;6,000000;2,256000;3,744000;1,000000;0,000000;1,000000;8,000000
14631064001;陶華碧老干媽香辣脆油辣椒210g:老干媽香辣脆;20;2;0,950000;10000;with_replacement;ok;16,000000;4,000000;3,000000;8,000000;3,012500;4,987500;1,000000;0,000000;1,000000;3,000000
14631082001;寧記金鉤辣椒245g:寧記金鉤辣椒;15;2;0,950000;10000;with_replacement;ok;12,000000;3,000000;2,000000;1,000000;0,334300;0,665700;0,500000;2,000000;0,333333;3,000000
14631100001;陶華碧老干媽豆鼓油制辣椒210g:豆鼓油制辣椒;11;2;0,950000;10000;with_replacement;ok;8,000000;3,000000;2,000000;2,000000;0,741600;1,258400;0,500000;3,000000;0,400000;5,000000
14631925001;健康廚房泰式甜辣醬200ml:泰式甜辣醬;12;2;0,950000;10000;with_replacement;ok;9,000000;3,000000;2,000000;8,000000;2,233500;5,766500;1,000000;0,000000;1,000000;1,000000
14631944001;真好家鮮切辣椒280g:真好家鮮切辣椒;7;2;0,950000;10000;with_replacement;ok;5,000000;2,000000;1,000000;1,000000;0,401500;0,598500;1,000000;0,000000;1,000000;1,000000
14631948001;義美蒜蓉辣椒醬230g:義美紅辣椒醬;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;3,000000;1,002400;1,997600;1,000000;0,000000;1,000000;5,000000
14631949001;義美朝天辣椒醬(蒜蓉)230g:義美朝天辣椒醬;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;1,000000;0,125000;0,875000;0,750000;2,000000;0,500000;4,000000
14632005001;工研味醂500ml:工研味醂;19;2;0,950000;10000;with_replacement;ok;15,000000;4,000000;3,000000;6,000000;2,628900;3,371100;1,000000;0,000000;1,000000;7,000000
14632009001;味全水餃醬汁230g;19;2;0,950000;10000;with_replacement;ok;15,000000;4,000000;3,000000;4,000000;1,858700;2,141300;1,000000;0,000000;1,000000;9,000000
14632014001;雅媽吉茶碗蒸高湯包:產地日本愛媛縣;3;2;0,950000;10000;with_replacement;ok;1,000000;2,000000;1,000000;4,000000;4,000000;0,000000;0,000000;7,000000;0,363636;11,000000
14632019001;龍口芝麻醬:龍口芝麻醬;1;2;0,950000;10000;with_replacement;not_enough_history_for_holdout;;;;;;;;;;
14632022001;萬家香壽喜燒露450ml:萬家香壽喜燒露;17;2;0,950000;10000;with_replacement;ok;13,000000;4,000000;3,000000;5,000000;1,549800;3,450200;1,000000;0,000000;1,000000;6,000000
14632030001;味全台灣搵醬-蒜蓉醬200g;17;2;0,950000;10000;with_replacement;ok;13,000000;4,000000;3,000000;18,000000;5,702100;12,297900;1,000000;0,000000;1,000000;14,000000
14632044001;穀盛醇米霖 600g;19;2;0,950000;10000;with_replacement;ok;15,000000;4,000000;3,000000;3,000000;0,947600;2,052400;1,000000;0,000000;1,000000;1,000000
14632058001;KEWPIE深煎胡麻醬:產地日本佐賀縣;21;2;0,950000;10000;with_replacement;ok;16,000000;5,000000;4,000000;7,000000;2,739900;4,260100;1,000000;0,000000;1,000000;9,000000
14632059001;健康廚房和風柚子沾拌醬200ml:柚子沾拌淋醬;19;2;0,950000;10000;with_replacement;ok;15,000000;4,000000;3,000000;5,000000;1,754000;3,246000;0,666667;2,000000;0,750000;8,000000
14632067001;健康廚房焙煎芝麻沾拌醬200ml;19;2;0,950000;10000;with_replacement;ok;15,000000;4,000000;3,000000;4,000000;1,476800;2,523200;1,000000;0,000000;1,000000;1,000000
14632071001;健康廚房和風洋蔥沾拌醬200ml;5;2;0,950000;10000;with_replacement;ok;3,000000;2,000000;1,000000;2,000000;0,675700;1,324300;1,000000;0,000000;1,000000;1,000000
14632103001;黑豆桑醇釀極品香豆瓣醬-300g;19;2;0,950000;10000;with_replacement;ok;15,000000;4,000000;3,000000;2,000000;0,684500;1,315500;0,000000;6,000000;0,500000;12,000000
14632186001;萬家香無油水餃沾醬200ml:萬家香無油水餃;5;2;0,950000;10000;with_replacement;ok;3,000000;2,000000;1,000000;2,000000;0,672300;1,327700;0,000000;5,000000;0,285714;7,000000
