item_id,item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_quantity_order_unique,item_quantity_order_unique_frequency,item_initial_quantity_inventory,total_demand,daily_mean,daily_std,total_order_freq,daily_freq_mean,cv2,adi,composite_metric,item_class,item_class_alphabetical,item_initial_inventory
3511,14204127001,家樂福無調味半切海苔,37.0,27.0,23.0,22977.0,2.3,20,1148.9,PCS,"[1, 8, 12]","[2, 1, 1]",12,22,5.5,5.446711546122731,4,1.0,0.9807162534435262,5.25,5.5,1,BZ,20
3512,14204131001,家樂福原味半切海苔,37.0,27.0,22.0,21978.0,2.21,20,1098.9,PCS,"[1, 2, 3, 4, 5, 7, 10, 12, 17, 71]","[26, 13, 4, 2, 1, 1, 1, 1, 1, 1]",15,194,4.85,11.984070623871872,51,1.275,6.105556327684081,0.525,6.183749999999999,1,BY,36
3513,14204132001,家樂福辣味半切海苔,48.0,32.0,15.0,23040.0,2.41,20,1152.0,PCS,"[1, 2, 3, 4, 5, 6, 10, 12]","[30, 13, 3, 2, 3, 1, 1, 1]",5,116,2.32,2.469735175425635,54,1.08,1.1332475915455358,0.42,2.5056,1,BY,9
3514,14204133001,家樂福味付海苔(36束),38.0,29.0,18.0,19836.0,2.08,10,1983.6,PCS,"[1, 2, 6, 10, 12]","[16, 1, 2, 1, 1]",6,52,2.736842105263158,3.313978898597708,21,1.105263157894737,1.4662228796844183,1.105263157894737,3.024930747922438,1,BY,12
3515,14204135001,良澔片烤海苔-椒鹽口味,27.0,25.0,23.0,15525.0,1.11,12,1293.8,PCS,"[1, 2, 5, 12]","[8, 3, 1, 1]",7,31,2.8181818181818183,3.400534717310847,13,1.181818181818182,1.4559833506763786,1.9090909090909087,3.3305785123966944,1,BZ,12
3516,14204136001,良澔酥爆海苔原味,33.0,28.0,23.0,21252.0,1.2,12,1771.0,PCS,"[1, 2, 3, 4]","[9, 4, 2, 2]",3,31,1.9375,1.181453906563152,17,1.0625,0.3718348942074227,1.3125,2.05859375,3,BX,5
3517,14204150001,良澔金朝鮮海苔-精選原味,39.0,28.0,20.0,21840.0,1.63,20,1092.0,PCS,"[1, 2, 4]","[8, 4, 2]",3,24,1.7142857142857142,1.0690449676496974,14,1.0,0.3888888888888888,1.5,1.7142857142857142,4,CY,5
3518,14204151001,良澔金朝鮮海苔-精選辣味,39.0,28.0,20.0,21840.0,1.63,20,1092.0,PCS,"[1, 2]","[5, 2]",2,9,1.2857142857142858,0.4879500364742666,7,1.0,0.1440329218106996,3.0,1.2857142857142858,4,CY,3
3519,14204162001,雋品HiBs三切岩燒海苔-御之胡椒口味,54.0,27.0,15.0,21870.0,1.3,16,1366.9,PCS,"[1, 2, 3, 4, 6, 10]","[1, 21, 2, 9, 4, 1]",6,119,3.966666666666667,4.552250927370669,38,1.2666666666666666,1.3170460882121602,0.7,5.024444444444445,1,BY,16
3520,14204197001,良澔日式無調味海苔,40.0,28.0,21.0,23520.0,1.6,20,1176.0,PCS,"[1, 10]","[3, 1]",8,13,3.25,4.5,4,1.0,1.9171597633136093,5.25,3.25,1,BZ,15
