iteration,best_objective
0,547.602294921875
1,552.4946899414062
2,552.4946899414062
3,552.4946899414062
4,552.4946899414062
5,554.5687866210938
6,570.8800659179688
7,570.8800659179688
8,570.8800659179688
9,570.8800659179688
10,570.8800659179688
11,570.8800659179688
12,570.8800659179688
13,570.8800659179688
14,570.8800659179688
15,570.8800659179688
16,570.8800659179688
17,570.8800659179688
18,570.8800659179688
19,570.8800659179688
20,570.8800659179688
21,570.8800659179688
22,570.8800659179688
23,570.8800659179688
24,570.8800659179688
25,570.8800659179688
26,570.8800659179688
27,570.8800659179688
28,570.8800659179688
29,570.8800659179688
30,570.8800659179688
31,571.838623046875
32,571.838623046875
33,571.838623046875
34,571.838623046875
35,571.838623046875
36,571.838623046875
37,571.838623046875
38,571.838623046875
39,571.838623046875
40,571.838623046875
41,571.838623046875
42,571.838623046875
43,571.838623046875
44,571.838623046875
45,571.838623046875
46,571.838623046875
47,571.838623046875
48,571.9532470703125
49,571.9532470703125
50,571.9532470703125
51,571.9532470703125
52,571.9532470703125
53,571.9532470703125
54,571.9532470703125
55,571.9532470703125
56,571.9532470703125
57,571.9532470703125
58,571.9532470703125
59,571.9532470703125
60,571.9532470703125
61,571.9532470703125
62,571.9532470703125
63,571.9532470703125
64,571.9532470703125
65,571.9532470703125
66,571.9532470703125
67,571.9532470703125
68,571.9532470703125
69,571.9532470703125
70,571.9532470703125
71,571.9532470703125
72,571.9532470703125
73,571.9532470703125
74,571.9532470703125
75,571.9532470703125
76,571.9532470703125
77,571.9532470703125
78,571.9532470703125
79,571.9532470703125
80,571.9532470703125
81,571.9532470703125
82,571.9532470703125
83,571.9532470703125
84,571.9532470703125
85,571.9532470703125
86,571.9532470703125
87,571.9532470703125
88,571.9532470703125
89,571.9532470703125
90,571.9532470703125
91,571.9532470703125
92,571.9532470703125
93,571.9532470703125
94,571.9532470703125
95,571.9532470703125
96,571.9532470703125
97,571.9532470703125
98,571.9532470703125
99,571.9532470703125
100,571.9532470703125
